Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.10
Upper Discriminator:	2874
Lower Discriminator:	29
Calibration Coefficients:	-1.2058662903587866E-4	2.879613684275474	-10.609141850512888
Calibration Channels:	418	475	907
Calibration Energies:	1172.0	1330.0	2502.0
Elapsed Real Time:	61003.01
Elapsed Live Time:	60983.58
Start Time:	March 20, 2024, 04:10:26
End Time:	March 21, 2024, 09:07:10
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-10.609141850512888	0
1	-7.729648752866449	0
2	-4.850396828478083	0
3	-1.9713860773477894	0
4	0.9073835005244337	0
5	3.785911905138585	0
6	6.664199136494663	0
7	9.542245194592674	0
8	12.42005007943261	0
9	15.29761379101447	0
10	18.174936329338266	0
11	21.052017694403986	0
12	23.928857886211635	1
13	26.80545690476121	0
14	29.68181475005272	0
15	32.55793142208614	662
16	35.433806920861514	11311
17	38.30944124637881	13633
18	41.18483439863802	16021
19	44.05998637763916	18120
20	46.93489718338225	21486
21	49.80956681586724	25452
22	52.683995275094176	29508
23	55.558182561063035	31638
24	58.43212867377382	31653
25	61.305833613226554	30014
26	64.17929737942119	29300
27	67.05251997235776	29032
28	69.92550139203627	28368
29	72.79824163845669	27436
30	75.67074071161905	26322
31	78.54299861152333	25751
32	81.41501533816954	24998
33	84.28679089155769	24597
34	87.15832527168776	24171
35	90.02961847855975	23386
36	92.90067051217368	23317
37	95.77148137252954	22805
38	98.64205105962732	22457
39	101.51237957346703	21828
40	104.38246691404868	21481
41	107.25231308137224	20789
42	110.12191807543773	20896
43	112.99128189624517	20138
44	115.86040454379452	19670
45	118.72928601808579	19220
46	121.59792631911901	18739
47	124.46632544689416	18358
48	127.3344834014112	17775
49	130.2024001826702	17605
50	133.07007579067113	16979
51	135.93751022541397	16464
52	138.80470348689875	16212
53	141.67165557512547	15918
54	144.5383664900941	15367
55	147.40483623180467	15057
56	150.27106480025716	14892
57	153.13705219545156	14629
58	156.0027984173879	14270
59	158.8683034660662	14201
60	161.73356734148638	13679
61	164.59859004364853	13548
62	167.4633715725526	13084
63	170.32791192819857	12894
64	173.1922111105865	12573
65	176.05626911971635	12100
66	178.9200859555881	12063
67	181.78366161820182	11779
68	184.64699610755747	11364
69	187.510089423655	11063
70	190.3729415664945	10764
71	193.23555253607591	10657
72	196.09792233239924	10335
73	198.9600509554645	10362
74	201.82193840527174	10041
75	204.68358468182083	9927
76	207.5449897851119	9625
77	210.4061537151449	9617
78	213.2670764719198	9638
79	216.12775805543666	9198
80	218.98819846569543	9100
81	221.8483977026961	8872
82	224.70835576643873	8542
83	227.5680726569233	8195
84	230.42754837414975	7895
85	233.28678291811818	7754
86	236.14577628882853	7273
87	239.00452848628078	7038
88	241.86303951047498	6925
89	244.72130936141113	6623
90	247.57933803908915	6355
91	250.43712554350915	6232
92	253.29467187467108	6179
93	256.15197703257485	5939
94	259.0090410172206	6012
95	261.8658638286083	5674
96	264.7224454667379	5590
97	267.5787859316095	5578
98	270.434885223223	5471
99	273.2907433415784	5230
100	276.1463602866757	5056
101	279.00173605851495	5132
102	281.8568706570961	5041
103	284.7117640824193	4807
104	287.5664163344843	4858
105	290.4208274132913	4618
106	293.27499731884024	4602
107	296.12892605113103	4383
108	298.98261361016375	4380
109	301.8360599959385	4216
110	304.6892652084551	4151
111	307.54222924771364	4162
112	310.3949521137141	4060
113	313.2474338064565	3973
114	316.09967432594084	3911
115	318.95167367216715	3995
116	321.8034318451353	3933
117	324.65494884484536	3804
118	327.50622467129745	3740
119	330.3572593244914	3638
120	333.2080528044273	3650
121	336.0586051111052	3580
122	338.9089162445249	3426
123	341.75898620468655	3365
124	344.60881499159024	3416
125	347.45840260523573	3272
126	350.3077490456232	3061
127	353.1568543127526	3019
128	356.00571840662394	2951
129	358.85434132723714	2888
130	361.70272307459237	2840
131	364.55086364868947	2819
132	367.3987630495285	2743
133	370.2464212771095	2636
134	373.0938383314324	2624
135	375.9410142124972	2466
136	378.78794892030396	2542
137	381.6346424548526	2465
138	384.4810948161432	2430
139	387.3273060041758	2459
140	390.1732760189502	2361
141	393.0190048604666	2329
142	395.86449252872495	2318
143	398.7097390237252	2245
144	401.5547443454673	2234
145	404.3995084939515	2301
146	407.2440314691775	2170
147	410.08831327114547	2248
148	412.9323538998554	2107
149	415.7761533553072	2108
150	418.6197116375009	2120
151	421.46302874643663	2074
152	424.3061046821142	2055
153	427.1489394445337	1956
154	429.9915330336952	1956
155	432.8338854495986	1934
156	435.67599669224387	1888
157	438.5178667616311	1869
158	441.3594956577603	1812
159	444.2008833806314	1842
160	447.04202993024444	1701
161	449.8829353065994	1760
162	452.72359950969627	1727
163	455.56402253953513	1641
164	458.40420439611586	1650
165	461.2441450794385	1645
166	464.08384458950314	1607
167	466.92330292630965	1634
168	469.76252008985807	1634
169	472.6014960801485	1548
170	475.44023089718075	1585
171	478.278724540955	1518
172	481.1169770114712	1556
173	483.9549883087293	1538
174	486.7927584327293	1545
175	489.6302873834713	1527
176	492.4675751609551	1483
177	495.3046217651809	1517
178	498.1414271961487	1483
179	500.97799145385835	1437
180	503.81431453830993	1387
181	506.6503964495034	1409
182	509.4862371874389	1334
183	512.3218367521164	1295
184	515.1571951435357	1293
185	517.9923123616969	1296
186	520.8271884066	1305
187	523.6618232782452	1255
188	526.4962169766322	1270
189	529.3303695017612	1211
190	532.164280853632	1216
191	534.9979510322448	1170
192	537.8313800375995	1235
193	540.6645678696962	1211
194	543.4975145285348	1149
195	546.3302200141153	1256
196	549.1626843264378	1210
197	551.9949074655021	1217
198	554.8268894313084	1288
199	557.6586302238566	1149
200	560.4901298431469	1217
201	563.3213882891789	1199
202	566.152405561953	1330
203	568.9831816614688	1276
204	571.8137165877267	1305
205	574.6440103407265	1290
206	577.4740629204683	1240
207	580.3038743269519	1230
208	583.1334445601775	1324
209	585.962773620145	1269
210	588.7918615068544	1213
211	591.6207082203058	1317
212	594.4493137604992	1261
213	597.2776781274343	1390
214	600.1058013211115	1328
215	602.9336833415306	1384
216	605.7613241886916	1411
217	608.5887238625945	1432
218	611.4158823632395	1555
219	614.2427996906262	1618
220	617.069475844755	1698
221	619.8959108256255	1786
222	622.7221046332381	1895
223	625.5480572675926	1942
224	628.3737687286891	1959
225	631.1992390165275	2061
226	634.0244681311077	2067
227	636.8494560724299	2165
228	639.6742028404941	2146
229	642.4987084353002	2032
230	645.3229728568482	1979
231	648.1469961051381	1911
232	650.97077818017	1806
233	653.7943190819437	1815
234	656.6176188104595	1712
235	659.4406773657171	1570
236	662.2634947477168	1470
237	665.0860709564582	1282
238	667.9084059919417	1248
239	670.730499854167	1162
240	673.5523525431342	1105
241	676.3739640588435	1050
242	679.1953344012948	919
243	682.0164635704878	947
244	684.8373515664227	821
245	687.6579983890997	824
246	690.4784040385185	782
247	693.2985685146792	693
248	696.118491817582	711
249	698.9381739472267	713
250	701.7576149036132	704
251	704.5768146867417	669
252	707.3957732966121	651
253	710.2144907332245	627
254	713.0329669965788	636
255	715.851202086675	664
256	718.6691960035132	624
257	721.4869487470932	651
258	724.3044603174152	645
259	727.1217307144792	616
260	729.938759938285	653
261	732.7555479888327	575
262	735.5720948661225	599
263	738.3884005701541	618
264	741.2044651009277	567
265	744.0202884584432	625
266	746.8358706427007	548
267	749.6512116537	574
268	752.4663114914413	584
269	755.2811701559244	555
270	758.0957876471496	578
271	760.9101639651167	577
272	763.7242991098257	593
273	766.5381930812765	570
274	769.3518458794694	547
275	772.1652575044042	601
276	774.9784279560808	577
277	777.7913572344996	567
278	780.6040453396602	530
279	783.4164922715626	527
280	786.2286980302069	530
281	789.0406626155933	506
282	791.8523860277215	541
283	794.6638682665919	535
284	797.4751093322039	490
