Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.73
Upper Discriminator:	1049
Lower Discriminator:	15
Calibration Coefficients:	1.0	1.0
Calibration Channels:	0	0
Calibration Energies:	0.0	0.0
Elapsed Real Time:	373.95
Elapsed Live Time:	338.03
Start Time:	March 18, 2024, 09:19:36
End Time:	March 18, 2024, 09:25:50
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	1.0	0
1	2.0	0
2	3.0	0
3	4.0	0
4	5.0	4
5	6.0	5
6	7.0	20
7	8.0	63
8	9.0	70
9	10.0	91
10	11.0	82
11	12.0	121
12	13.0	147
13	14.0	164
14	15.0	200
15	16.0	802
16	17.0	2362
17	18.0	2589
18	19.0	2830
19	20.0	3105
20	21.0	3840
21	22.0	4903
22	23.0	7179
23	24.0	11773
24	25.0	21150
25	26.0	38480
26	27.0	65160
27	28.0	96432
28	29.0	124773
29	30.0	138512
30	31.0	132773
31	32.0	112373
32	33.0	87690
33	34.0	65696
34	35.0	49193
35	36.0	37131
36	37.0	28193
37	38.0	21245
38	39.0	15281
39	40.0	11121
40	41.0	7986
41	42.0	6021
42	43.0	4861
43	44.0	4403
44	45.0	4462
45	46.0	4628
46	47.0	4906
47	48.0	5343
48	49.0	5875
49	50.0	6469
50	51.0	6963
51	52.0	7463
52	53.0	7715
53	54.0	7875
54	55.0	7858
55	56.0	7948
56	57.0	7878
57	58.0	8023
58	59.0	7997
59	60.0	8410
60	61.0	9379
61	62.0	10417
62	63.0	11451
63	64.0	12697
64	65.0	14223
65	66.0	15286
66	67.0	15476
67	68.0	15707
68	69.0	15255
69	70.0	14733
70	71.0	13868
71	72.0	13056
72	73.0	12712
73	74.0	12302
74	75.0	12259
75	76.0	12977
76	77.0	14028
77	78.0	15720
78	79.0	18100
79	80.0	21237
80	81.0	24750
81	82.0	28811
82	83.0	33080
83	84.0	35924
84	85.0	37808
85	86.0	38320
86	87.0	37264
87	88.0	34277
88	89.0	30413
89	90.0	25898
90	91.0	21495
91	92.0	17392
92	93.0	13934
93	94.0	10471
94	95.0	8410
95	96.0	6906
96	97.0	5624
97	98.0	4897
98	99.0	4461
99	100.0	4134
100	101.0	4076
101	102.0	3891
102	103.0	3992
103	104.0	4101
104	105.0	3863
105	106.0	3971
106	107.0	4012
107	108.0	4104
108	109.0	4207
109	110.0	4508
110	111.0	4473
111	112.0	4716
112	113.0	5040
113	114.0	5320
114	115.0	5682
115	116.0	6183
116	117.0	6726
117	118.0	7097
118	119.0	7593
119	120.0	8230
120	121.0	8468
121	122.0	8503
122	123.0	8628
123	124.0	8360
124	125.0	8213
125	126.0	7633
126	127.0	7130
127	128.0	6437
128	129.0	5937
129	130.0	5517
130	131.0	5055
131	132.0	4763
132	133.0	4297
133	134.0	4138
134	135.0	3977
135	136.0	3647
136	137.0	3747
137	138.0	3659
138	139.0	3620
139	140.0	3702
140	141.0	3632
141	142.0	3810
142	143.0	3932
143	144.0	3893
144	145.0	3936
145	146.0	4044
146	147.0	4105
147	148.0	4308
148	149.0	4405
149	150.0	4480
150	151.0	4488
151	152.0	4593
152	153.0	4650
153	154.0	4852
154	155.0	4831
155	156.0	4951
156	157.0	5029
157	158.0	5102
158	159.0	5099
159	160.0	5091
160	161.0	5113
161	162.0	5160
162	163.0	5063
163	164.0	5111
164	165.0	5050
165	166.0	5044
166	167.0	4835
167	168.0	4852
168	169.0	4738
169	170.0	4735
170	171.0	4675
171	172.0	4442
172	173.0	4383
173	174.0	4322
174	175.0	4392
175	176.0	4280
176	177.0	4067
177	178.0	4088
178	179.0	3992
179	180.0	3989
180	181.0	3857
181	182.0	3891
182	183.0	3766
183	184.0	3746
184	185.0	3678
185	186.0	3685
186	187.0	3635
187	188.0	3534
188	189.0	3595
189	190.0	3604
190	191.0	3478
191	192.0	3479
192	193.0	3431
193	194.0	3398
194	195.0	3284
195	196.0	3368
196	197.0	3277
197	198.0	3250
198	199.0	3307
199	200.0	3122
200	201.0	3117
201	202.0	3066
202	203.0	3041
203	204.0	2982
204	205.0	2962
205	206.0	2775
206	207.0	2810
207	208.0	2742
208	209.0	2775
209	210.0	2601
210	211.0	2634
211	212.0	2538
212	213.0	2583
213	214.0	2572
214	215.0	2478
215	216.0	2412
216	217.0	2289
217	218.0	2322
218	219.0	2350
219	220.0	2360
220	221.0	2237
221	222.0	2190
222	223.0	2167
223	224.0	2148
224	225.0	2164
225	226.0	2156
226	227.0	2145
227	228.0	2136
228	229.0	2117
229	230.0	2158
230	231.0	2070
231	232.0	1961
232	233.0	2014
233	234.0	1998
234	235.0	1956
235	236.0	1920
236	237.0	1812
237	238.0	1956
238	239.0	1851
239	240.0	1910
240	241.0	1795
241	242.0	1810
242	243.0	1833
243	244.0	1747
244	245.0	1773
245	246.0	1789
246	247.0	1724
247	248.0	1672
248	249.0	1660
249	250.0	1682
250	251.0	1677
251	252.0	1613
252	253.0	1631
253	254.0	1552
254	255.0	1634
255	256.0	1658
256	257.0	1665
257	258.0	1592
258	259.0	1645
259	260.0	1670
260	261.0	1716
261	262.0	1606
262	263.0	1640
263	264.0	1762
264	265.0	1760
265	266.0	1836
266	267.0	1957
267	268.0	1898
268	269.0	1884
269	270.0	2027
270	271.0	2054
271	272.0	2142
272	273.0	2259
273	274.0	2182
274	275.0	2232
275	276.0	2348
276	277.0	2384
277	278.0	2430
278	279.0	2400
279	280.0	2448
280	281.0	2604
281	282.0	2529
282	283.0	2603
283	284.0	2643
284	285.0	2570
285	286.0	2692
286	287.0	2804
287	288.0	2681
288	289.0	2826
289	290.0	2880
290	291.0	2885
291	292.0	3055
292	293.0	3148
293	294.0	3212
294	295.0	3174
295	296.0	3293
296	297.0	3281
297	298.0	3456
298	299.0	3556
299	300.0	3645
300	301.0	3749
301	302.0	3825
302	303.0	3924
303	304.0	3837
304	305.0	4084
305	306.0	3942
306	307.0	4129
307	308.0	4135
308	309.0	4045
309	310.0	4099
310	311.0	4156
311	312.0	4110
312	313.0	4212
313	314.0	4071
314	315.0	4026
315	316.0	3953
316	317.0	3920
317	318.0	3755
318	319.0	3585
319	320.0	3553
320	321.0	3354
321	322.0	3409
322	323.0	3211
323	324.0	3059
324	325.0	3192
325	326.0	2917
326	327.0	2847
327	328.0	2868
328	329.0	2828
329	330.0	2813
330	331.0	2760
331	332.0	2756
332	333.0	2821
333	334.0	2876
334	335.0	3001
335	336.0	3094
336	337.0	3138
337	338.0	3495
338	339.0	3521
339	340.0	3799
340	341.0	3969
341	342.0	4200
342	343.0	4398
343	344.0	4752
344	345.0	5068
345	346.0	5396
346	347.0	5604
347	348.0	6022
348	349.0	6472
349	350.0	6601
350	351.0	7040
351	352.0	7207
352	353.0	7708
353	354.0	8015
354	355.0	8235
355	356.0	8501
356	357.0	8855
357	358.0	8952
358	359.0	9319
359	360.0	9338
360	361.0	9505
361	362.0	9693
362	363.0	9592
363	364.0	9692
364	365.0	9811
365	366.0	9687
366	367.0	9542
367	368.0	9568
368	369.0	9500
369	370.0	9292
370	371.0	9142
371	372.0	8890
372	373.0	8686
373	374.0	8763
374	375.0	8430
375	376.0	8077
376	377.0	7719
377	378.0	7494
378	379.0	7385
379	380.0	7255
380	381.0	6950
381	382.0	6808
382	383.0	6551
383	384.0	6400
384	385.0	6083
385	386.0	6087
386	387.0	5946
387	388.0	5998
388	389.0	5635
389	390.0	5548
