Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	MCS Internal
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.72
Upper Discriminator:	729
Lower Discriminator:	562
Calibration Coefficients:	0.7519999999999989	1.008
Calibration Channels:	0	0
Calibration Energies:	0.0	0.0
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	March 18, 2024, 09:48:22
End Time:	March 18, 2024, 10:05:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	561	728	45926	-3383	2	633

Channel Data:
Channel	Energy	Counts
0	0.0	4414
1	1.0	4359
2	2.0	4357
3	3.0	4388
4	4.0	4219
5	5.0	4388
6	6.0	4181
7	7.0	4338
8	8.0	4254
9	9.0	4248
10	10.0	4144
11	11.0	4226
12	12.0	4238
13	13.0	4204
14	14.0	4086
15	15.0	4163
16	16.0	4138
17	17.0	4084
18	18.0	4229
19	19.0	4129
20	20.0	3996
21	21.0	4078
22	22.0	4101
23	23.0	4006
24	24.0	4082
25	25.0	3948
26	26.0	3918
27	27.0	4006
28	28.0	3955
29	29.0	4033
30	30.0	3999
31	31.0	3891
32	32.0	3981
33	33.0	3823
34	34.0	3877
35	35.0	3844
36	36.0	3993
37	37.0	3780
38	38.0	3949
39	39.0	3855
40	40.0	3837
41	41.0	3857
42	42.0	3838
43	43.0	3689
44	44.0	3634
45	45.0	3725
46	46.0	3721
47	47.0	3675
48	48.0	3666
49	49.0	3666
50	50.0	3676
51	51.0	3555
52	52.0	3612
53	53.0	3540
54	54.0	3640
55	55.0	3515
56	56.0	3694
57	57.0	3512
58	58.0	3442
59	59.0	3474
60	60.0	3435
61	61.0	3481
62	62.0	3511
63	63.0	3360
64	64.0	3471
65	65.0	3503
66	66.0	3440
67	67.0	3516
68	68.0	3420
69	69.0	3345
70	70.0	3253
71	71.0	3340
72	72.0	3280
73	73.0	3378
74	74.0	3290
75	75.0	3262
76	76.0	3305
77	77.0	3319
78	78.0	3245
79	79.0	3240
80	80.0	3195
81	81.0	3185
82	82.0	3102
83	83.0	3181
84	84.0	3082
85	85.0	3161
86	86.0	3168
87	87.0	3123
88	88.0	3113
