Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.10
Upper Discriminator:	2874
Lower Discriminator:	29
Calibration Coefficients:	-1.2058662903587866E-4	2.879613684275474	-10.609141850512888
Calibration Channels:	418	475	907
Calibration Energies:	1172.0	1330.0	2502.0
Elapsed Real Time:	596.84
Elapsed Live Time:	586.76
Start Time:	March 18, 2024, 03:18:53
End Time:	March 18, 2024, 03:28:50
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	565	732	8684	-1229	5	1781

Channel Data:
Channel	Energy	Counts
0	-10.609141850512888	0
1	-7.729648752866449	0
2	-4.850396828478083	0
3	-1.9713860773477894	0
4	0.9073835005244337	0
5	3.785911905138585	0
6	6.664199136494663	0
7	9.542245194592674	1
8	12.42005007943261	2
9	15.29761379101447	3
10	18.174936329338266	2
11	21.052017694403986	5
12	23.928857886211635	0
13	26.80545690476121	1
14	29.68181475005272	8
15	32.55793142208614	150
16	35.433806920861514	1602
17	38.30944124637881	1869
18	41.18483439863802	2061
19	44.05998637763916	2255
20	46.93489718338225	2284
21	49.80956681586724	2403
22	52.683995275094176	2621
23	55.558182561063035	2793
24	58.43212867377382	2929
25	61.305833613226554	2892
26	64.17929737942119	2882
27	67.05251997235776	2984
28	69.92550139203627	2912
29	72.79824163845669	3054
30	75.67074071161905	2849
31	78.54299861152333	2810
32	81.41501533816954	2851
33	84.28679089155769	2728
34	87.15832527168776	2687
35	90.02961847855975	2686
36	92.90067051217368	2690
37	95.77148137252954	2676
38	98.64205105962732	2812
39	101.51237957346703	2638
40	104.38246691404868	2745
41	107.25231308137224	2680
42	110.12191807543773	2798
43	112.99128189624517	2839
44	115.86040454379452	2851
45	118.72928601808579	2904
46	121.59792631911901	2774
47	124.46632544689416	2847
48	127.3344834014112	2761
49	130.2024001826702	2837
50	133.07007579067113	2904
51	135.93751022541397	2884
52	138.80470348689875	2848
53	141.67165557512547	2936
54	144.5383664900941	2868
55	147.40483623180467	2831
56	150.27106480025716	2913
57	153.13705219545156	2801
58	156.0027984173879	2794
59	158.8683034660662	2886
60	161.73356734148638	2844
61	164.59859004364853	2806
62	167.4633715725526	2812
63	170.32791192819857	2786
64	173.1922111105865	2944
65	176.05626911971635	2915
66	178.9200859555881	2973
67	181.78366161820182	3122
68	184.64699610755747	3330
69	187.510089423655	3493
70	190.3729415664945	3749
71	193.23555253607591	3927
72	196.09792233239924	3954
73	198.9600509554645	4465
74	201.82193840527174	4549
75	204.68358468182083	4635
76	207.5449897851119	4750
77	210.4061537151449	4628
78	213.2670764719198	4703
79	216.12775805543666	4517
80	218.98819846569543	4316
81	221.8483977026961	4230
82	224.70835576643873	4240
83	227.5680726569233	4071
84	230.42754837414975	3813
85	233.28678291811818	3749
86	236.14577628882853	3618
87	239.00452848628078	3492
88	241.86303951047498	3426
89	244.72130936141113	3251
90	247.57933803908915	3087
91	250.43712554350915	3106
92	253.29467187467108	3096
93	256.15197703257485	2883
94	259.0090410172206	2800
95	261.8658638286083	2743
96	264.7224454667379	2605
97	267.5787859316095	2622
98	270.434885223223	2571
99	273.2907433415784	2517
100	276.1463602866757	2497
101	279.00173605851495	2491
102	281.8568706570961	2364
103	284.7117640824193	2444
104	287.5664163344843	2387
105	290.4208274132913	2358
106	293.27499731884024	2299
107	296.12892605113103	2323
108	298.98261361016375	2295
109	301.8360599959385	2222
110	304.6892652084551	2201
111	307.54222924771364	2102
112	310.3949521137141	2048
113	313.2474338064565	2074
114	316.09967432594084	2005
115	318.95167367216715	2017
116	321.8034318451353	1957
117	324.65494884484536	2038
118	327.50622467129745	2025
119	330.3572593244914	1920
120	333.2080528044273	1895
121	336.0586051111052	1893
122	338.9089162445249	1908
123	341.75898620468655	1843
124	344.60881499159024	1822
125	347.45840260523573	1939
126	350.3077490456232	1819
127	353.1568543127526	1813
128	356.00571840662394	1812
129	358.85434132723714	1782
130	361.70272307459237	1796
131	364.55086364868947	1691
132	367.3987630495285	1697
133	370.2464212771095	1735
134	373.0938383314324	1731
135	375.9410142124972	1678
136	378.78794892030396	1767
137	381.6346424548526	1671
138	384.4810948161432	1715
139	387.3273060041758	1675
140	390.1732760189502	1625
141	393.0190048604666	1747
142	395.86449252872495	1593
143	398.7097390237252	1671
144	401.5547443454673	1652
145	404.3995084939515	1672
146	407.2440314691775	1606
147	410.08831327114547	1642
148	412.9323538998554	1694
149	415.7761533553072	1592
150	418.6197116375009	1641
151	421.46302874643663	1620
152	424.3061046821142	1578
153	427.1489394445337	1633
154	429.9915330336952	1579
155	432.8338854495986	1655
156	435.67599669224387	1542
157	438.5178667616311	1600
158	441.3594956577603	1588
159	444.2008833806314	1658
160	447.04202993024444	1624
161	449.8829353065994	1522
162	452.72359950969627	1643
163	455.56402253953513	1525
164	458.40420439611586	1579
165	461.2441450794385	1550
166	464.08384458950314	1590
167	466.92330292630965	1541
168	469.76252008985807	1567
169	472.6014960801485	1648
170	475.44023089718075	1510
171	478.278724540955	1542
172	481.1169770114712	1487
173	483.9549883087293	1551
174	486.7927584327293	1523
175	489.6302873834713	1536
176	492.4675751609551	1569
177	495.3046217651809	1494
178	498.1414271961487	1467
179	500.97799145385835	1544
180	503.81431453830993	1481
181	506.6503964495034	1517
182	509.4862371874389	1545
183	512.3218367521164	1560
184	515.1571951435357	1563
185	517.9923123616969	1543
186	520.8271884066	1586
187	523.6618232782452	1504
188	526.4962169766322	1485
189	529.3303695017612	1493
190	532.164280853632	1516
191	534.9979510322448	1494
192	537.8313800375995	1489
193	540.6645678696962	1498
194	543.4975145285348	1489
195	546.3302200141153	1553
196	549.1626843264378	1485
197	551.9949074655021	1548
198	554.8268894313084	1516
199	557.6586302238566	1540
200	560.4901298431469	1553
201	563.3213882891789	1539
202	566.152405561953	1480
203	568.9831816614688	1503
204	571.8137165877267	1533
205	574.6440103407265	1423
206	577.4740629204683	1469
207	580.3038743269519	1520
208	583.1334445601775	1473
209	585.962773620145	1492
210	588.7918615068544	1529
211	591.6207082203058	1525
212	594.4493137604992	1561
213	597.2776781274343	1427
214	600.1058013211115	1528
215	602.9336833415306	1556
216	605.7613241886916	1454
217	608.5887238625945	1585
218	611.4158823632395	1549
219	614.2427996906262	1503
220	617.069475844755	1475
221	619.8959108256255	1459
222	622.7221046332381	1484
223	625.5480572675926	1498
224	628.3737687286891	1501
225	631.1992390165275	1471
226	634.0244681311077	1530
227	636.8494560724299	1492
228	639.6742028404941	1522
229	642.4987084353002	1556
230	645.3229728568482	1553
231	648.1469961051381	1555
232	650.97077818017	1561
233	653.7943190819437	1559
234	656.6176188104595	1588
235	659.4406773657171	1596
236	662.2634947477168	1541
237	665.0860709564582	1560
238	667.9084059919417	1475
239	670.730499854167	1508
240	673.5523525431342	1547
241	676.3739640588435	1537
242	679.1953344012948	1577
243	682.0164635704878	1534
244	684.8373515664227	1602
245	687.6579983890997	1609
246	690.4784040385185	1527
247	693.2985685146792	1567
248	696.118491817582	1557
249	698.9381739472267	1602
250	701.7576149036132	1542
251	704.5768146867417	1555
252	707.3957732966121	1578
253	710.2144907332245	1562
254	713.0329669965788	1559
255	715.851202086675	1606
256	718.6691960035132	1579
257	721.4869487470932	1612
258	724.3044603174152	1618
259	727.1217307144792	1612
260	729.938759938285	1602
261	732.7555479888327	1586
262	735.5720948661225	1574
263	738.3884005701541	1571
264	741.2044651009277	1599
265	744.0202884584432	1642
266	746.8358706427007	1646
267	749.6512116537	1670
268	752.4663114914413	1563
269	755.2811701559244	1648
270	758.0957876471496	1614
271	760.9101639651167	1624
272	763.7242991098257	1594
273	766.5381930812765	1576
274	769.3518458794694	1655
275	772.1652575044042	1673
276	774.9784279560808	1653
277	777.7913572344996	1583
278	780.6040453396602	1661
279	783.4164922715626	1575
