Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.73
Upper Discriminator:	1049
Lower Discriminator:	15
Calibration Coefficients:	1.0	1.0
Calibration Channels:	0	0
Calibration Energies:	0.0	0.0
Elapsed Real Time:	309.19
Elapsed Live Time:	308.37
Start Time:	March 18, 2024, 09:11:39
End Time:	March 18, 2024, 09:16:48
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	1.0	0
1	2.0	0
2	3.0	0
3	4.0	0
4	5.0	0
5	6.0	0
6	7.0	0
7	8.0	0
8	9.0	0
9	10.0	0
10	11.0	0
11	12.0	0
12	13.0	0
13	14.0	0
14	15.0	0
15	16.0	21
16	17.0	82
17	18.0	71
18	19.0	73
19	20.0	90
20	21.0	101
21	22.0	83
22	23.0	81
23	24.0	88
24	25.0	109
25	26.0	117
26	27.0	130
27	28.0	122
28	29.0	142
29	30.0	149
30	31.0	133
31	32.0	111
32	33.0	109
33	34.0	114
34	35.0	102
35	36.0	104
36	37.0	97
37	38.0	99
38	39.0	91
39	40.0	81
40	41.0	96
41	42.0	89
42	43.0	110
43	44.0	96
44	45.0	105
45	46.0	83
46	47.0	103
47	48.0	94
48	49.0	86
49	50.0	103
50	51.0	106
51	52.0	85
52	53.0	108
53	54.0	93
54	55.0	96
55	56.0	126
56	57.0	120
57	58.0	105
58	59.0	95
59	60.0	101
60	61.0	117
61	62.0	133
62	63.0	124
63	64.0	137
64	65.0	102
65	66.0	141
66	67.0	153
67	68.0	125
68	69.0	136
69	70.0	113
70	71.0	133
71	72.0	140
72	73.0	158
73	74.0	154
74	75.0	156
75	76.0	164
76	77.0	151
77	78.0	166
78	79.0	159
79	80.0	156
80	81.0	159
81	82.0	150
82	83.0	146
83	84.0	153
84	85.0	157
85	86.0	168
86	87.0	158
87	88.0	158
88	89.0	156
89	90.0	135
90	91.0	130
91	92.0	136
92	93.0	128
93	94.0	137
94	95.0	121
95	96.0	137
96	97.0	142
97	98.0	155
98	99.0	118
99	100.0	136
100	101.0	132
101	102.0	132
102	103.0	132
103	104.0	118
104	105.0	162
105	106.0	142
106	107.0	126
107	108.0	137
108	109.0	143
109	110.0	140
110	111.0	131
111	112.0	128
112	113.0	135
113	114.0	129
114	115.0	132
115	116.0	135
116	117.0	139
117	118.0	133
118	119.0	137
119	120.0	122
120	121.0	138
121	122.0	147
122	123.0	139
123	124.0	148
124	125.0	171
125	126.0	125
126	127.0	154
127	128.0	126
128	129.0	124
129	130.0	131
130	131.0	135
131	132.0	155
132	133.0	139
133	134.0	124
134	135.0	133
135	136.0	141
136	137.0	136
137	138.0	145
138	139.0	151
139	140.0	129
140	141.0	131
141	142.0	146
142	143.0	141
143	144.0	125
144	145.0	131
145	146.0	139
146	147.0	135
147	148.0	135
148	149.0	158
149	150.0	150
150	151.0	112
151	152.0	117
152	153.0	112
153	154.0	153
154	155.0	146
155	156.0	139
156	157.0	130
157	158.0	113
158	159.0	119
159	160.0	133
160	161.0	142
161	162.0	134
162	163.0	138
163	164.0	131
164	165.0	111
165	166.0	156
166	167.0	127
167	168.0	127
168	169.0	136
169	170.0	142
170	171.0	131
171	172.0	128
172	173.0	127
173	174.0	111
174	175.0	130
175	176.0	146
176	177.0	133
177	178.0	123
178	179.0	138
179	180.0	143
180	181.0	133
181	182.0	119
182	183.0	126
183	184.0	135
184	185.0	132
185	186.0	138
186	187.0	136
187	188.0	159
188	189.0	156
189	190.0	152
190	191.0	122
191	192.0	154
192	193.0	172
193	194.0	180
194	195.0	176
195	196.0	149
196	197.0	163
197	198.0	174
198	199.0	173
199	200.0	180
200	201.0	221
201	202.0	174
202	203.0	170
203	204.0	187
204	205.0	175
205	206.0	167
206	207.0	188
207	208.0	171
208	209.0	181
209	210.0	208
210	211.0	184
211	212.0	175
212	213.0	185
213	214.0	183
214	215.0	164
215	216.0	160
216	217.0	168
217	218.0	175
218	219.0	167
219	220.0	177
220	221.0	154
221	222.0	166
222	223.0	145
223	224.0	167
224	225.0	165
225	226.0	150
226	227.0	161
227	228.0	140
228	229.0	135
229	230.0	131
230	231.0	148
231	232.0	126
232	233.0	154
233	234.0	122
234	235.0	141
235	236.0	151
236	237.0	127
237	238.0	136
238	239.0	128
239	240.0	125
240	241.0	154
241	242.0	124
242	243.0	137
243	244.0	121
244	245.0	120
245	246.0	111
246	247.0	123
247	248.0	117
248	249.0	110
249	250.0	121
250	251.0	118
251	252.0	125
252	253.0	129
253	254.0	95
254	255.0	105
255	256.0	90
256	257.0	107
257	258.0	103
258	259.0	131
259	260.0	100
260	261.0	94
261	262.0	102
262	263.0	87
263	264.0	110
264	265.0	101
265	266.0	98
266	267.0	99
267	268.0	95
268	269.0	112
269	270.0	84
270	271.0	83
271	272.0	100
272	273.0	95
273	274.0	93
274	275.0	84
275	276.0	90
276	277.0	78
277	278.0	78
278	279.0	91
279	280.0	106
280	281.0	93
281	282.0	92
282	283.0	77
283	284.0	84
284	285.0	79
285	286.0	91
286	287.0	89
287	288.0	89
288	289.0	72
289	290.0	92
290	291.0	93
291	292.0	85
292	293.0	92
293	294.0	81
294	295.0	79
295	296.0	97
296	297.0	73
297	298.0	61
298	299.0	84
299	300.0	70
300	301.0	85
301	302.0	77
302	303.0	84
303	304.0	84
304	305.0	81
305	306.0	73
306	307.0	71
307	308.0	81
308	309.0	73
309	310.0	77
310	311.0	83
311	312.0	99
312	313.0	58
313	314.0	70
314	315.0	65
315	316.0	62
316	317.0	71
317	318.0	76
318	319.0	61
319	320.0	62
320	321.0	74
321	322.0	75
322	323.0	81
323	324.0	90
324	325.0	77
325	326.0	64
326	327.0	75
327	328.0	64
328	329.0	61
329	330.0	73
330	331.0	73
331	332.0	91
332	333.0	68
333	334.0	83
334	335.0	75
335	336.0	63
336	337.0	76
337	338.0	72
338	339.0	60
339	340.0	65
340	341.0	78
341	342.0	61
342	343.0	68
343	344.0	76
344	345.0	67
345	346.0	64
346	347.0	64
347	348.0	68
348	349.0	70
349	350.0	89
350	351.0	59
351	352.0	54
352	353.0	65
353	354.0	66
354	355.0	73
355	356.0	59
356	357.0	58
357	358.0	67
358	359.0	57
359	360.0	60
360	361.0	71
361	362.0	64
362	363.0	61
363	364.0	63
364	365.0	61
365	366.0	58
366	367.0	70
367	368.0	67
368	369.0	64
369	370.0	71
370	371.0	71
371	372.0	63
372	373.0	68
373	374.0	66
374	375.0	69
375	376.0	49
376	377.0	76
377	378.0	57
378	379.0	61
379	380.0	54
380	381.0	78
381	382.0	41
382	383.0	48
383	384.0	65
384	385.0	67
385	386.0	68
386	387.0	65
387	388.0	75
388	389.0	67
389	390.0	69
390	391.0	52
391	392.0	74
392	393.0	77
393	394.0	62
394	395.0	48
395	396.0	53
396	397.0	57
397	398.0	70
398	399.0	67
399	400.0	57
400	401.0	51
401	402.0	72
402	403.0	66
403	404.0	68
404	405.0	66
405	406.0	63
406	407.0	56
407	408.0	66
408	409.0	60
409	410.0	56
410	411.0	63
411	412.0	52
412	413.0	62
413	414.0	59
414	415.0	65
415	416.0	64
416	417.0	68
417	418.0	60
418	419.0	56
419	420.0	63
420	421.0	64
421	422.0	68
422	423.0	50
423	424.0	58
424	425.0	55
425	426.0	59
426	427.0	60
427	428.0	73
428	429.0	47
429	430.0	68
430	431.0	52
431	432.0	61
432	433.0	65
433	434.0	71
434	435.0	67
435	436.0	64
436	437.0	59
