Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.10
Upper Discriminator:	2874
Lower Discriminator:	29
Calibration Coefficients:	-1.2058662903587866E-4	2.879613684275474	-10.609141850512888
Calibration Channels:	418	475	907
Calibration Energies:	1172.0	1330.0	2502.0
Elapsed Real Time:	523.02
Elapsed Live Time:	497.64
Start Time:	March 18, 2024, 03:40:23
End Time:	March 18, 2024, 03:44:47
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	565	732	13922	-2207	27	1755

Channel Data:
Channel	Energy	Counts
0	-10.609141850512888	0
1	-7.729648752866449	0
2	-4.850396828478083	0
3	-1.9713860773477894	1
4	0.9073835005244337	1
5	3.785911905138585	1
6	6.664199136494663	1
7	9.542245194592674	2
8	12.42005007943261	4
9	15.29761379101447	10
10	18.174936329338266	10
11	21.052017694403986	6
12	23.928857886211635	20
13	26.80545690476121	26
14	29.68181475005272	30
15	32.55793142208614	677
16	35.433806920861514	5933
17	38.30944124637881	6987
18	41.18483439863802	7206
19	44.05998637763916	7722
20	46.93489718338225	8145
21	49.80956681586724	8698
22	52.683995275094176	9189
23	55.558182561063035	9938
24	58.43212867377382	10126
25	61.305833613226554	10095
26	64.17929737942119	10230
27	67.05251997235776	10349
28	69.92550139203627	10504
29	72.79824163845669	10380
30	75.67074071161905	10225
31	78.54299861152333	10148
32	81.41501533816954	10041
33	84.28679089155769	9985
34	87.15832527168776	10114
35	90.02961847855975	10107
36	92.90067051217368	10077
37	95.77148137252954	10213
38	98.64205105962732	10307
39	101.51237957346703	10329
40	104.38246691404868	10522
41	107.25231308137224	10728
42	110.12191807543773	10680
43	112.99128189624517	10668
44	115.86040454379452	10784
45	118.72928601808579	10498
46	121.59792631911901	10637
47	124.46632544689416	10715
48	127.3344834014112	10710
49	130.2024001826702	10808
50	133.07007579067113	10825
51	135.93751022541397	10746
52	138.80470348689875	10807
53	141.67165557512547	11277
54	144.5383664900941	11459
55	147.40483623180467	11972
56	150.27106480025716	12709
57	153.13705219545156	13528
58	156.0027984173879	14068
59	158.8683034660662	14850
60	161.73356734148638	15454
61	164.59859004364853	15969
62	167.4633715725526	16039
63	170.32791192819857	15889
64	173.1922111105865	15932
65	176.05626911971635	15456
66	178.9200859555881	15221
67	181.78366161820182	14876
68	184.64699610755747	14281
69	187.510089423655	14162
70	190.3729415664945	13613
71	193.23555253607591	13382
72	196.09792233239924	13250
73	198.9600509554645	13185
74	201.82193840527174	13176
75	204.68358468182083	12789
76	207.5449897851119	12430
77	210.4061537151449	12596
78	213.2670764719198	12105
79	216.12775805543666	11745
80	218.98819846569543	11326
81	221.8483977026961	11236
82	224.70835576643873	11342
83	227.5680726569233	10867
84	230.42754837414975	10809
85	233.28678291811818	10463
86	236.14577628882853	10284
87	239.00452848628078	10086
88	241.86303951047498	9977
89	244.72130936141113	9776
90	247.57933803908915	9831
91	250.43712554350915	9648
92	253.29467187467108	9527
93	256.15197703257485	9326
94	259.0090410172206	9194
95	261.8658638286083	9296
96	264.7224454667379	8925
97	267.5787859316095	8851
98	270.434885223223	8883
99	273.2907433415784	8756
100	276.1463602866757	8744
101	279.00173605851495	8848
102	281.8568706570961	8723
103	284.7117640824193	8562
104	287.5664163344843	8590
105	290.4208274132913	8555
106	293.27499731884024	8419
107	296.12892605113103	8544
108	298.98261361016375	8232
109	301.8360599959385	8178
110	304.6892652084551	7814
111	307.54222924771364	7815
112	310.3949521137141	7327
113	313.2474338064565	7298
114	316.09967432594084	6647
115	318.95167367216715	6328
116	321.8034318451353	6051
117	324.65494884484536	5766
118	327.50622467129745	5310
119	330.3572593244914	4995
120	333.2080528044273	4697
121	336.0586051111052	4437
122	338.9089162445249	4186
123	341.75898620468655	4032
124	344.60881499159024	3799
125	347.45840260523573	3665
126	350.3077490456232	3588
127	353.1568543127526	3422
128	356.00571840662394	3282
129	358.85434132723714	3224
130	361.70272307459237	3176
131	364.55086364868947	3132
132	367.3987630495285	2997
133	370.2464212771095	2985
134	373.0938383314324	2893
135	375.9410142124972	2923
136	378.78794892030396	2704
137	381.6346424548526	2800
138	384.4810948161432	2768
139	387.3273060041758	2578
140	390.1732760189502	2584
141	393.0190048604666	2614
142	395.86449252872495	2589
143	398.7097390237252	2559
144	401.5547443454673	2543
145	404.3995084939515	2543
146	407.2440314691775	2543
147	410.08831327114547	2454
148	412.9323538998554	2469
149	415.7761533553072	2460
150	418.6197116375009	2404
151	421.46302874643663	2473
152	424.3061046821142	2475
153	427.1489394445337	2473
154	429.9915330336952	2518
155	432.8338854495986	2403
156	435.67599669224387	2462
157	438.5178667616311	2404
158	441.3594956577603	2422
159	444.2008833806314	2419
160	447.04202993024444	2488
161	449.8829353065994	2463
162	452.72359950969627	2626
163	455.56402253953513	2816
164	458.40420439611586	3044
165	461.2441450794385	3369
166	464.08384458950314	3976
167	466.92330292630965	4681
168	469.76252008985807	5623
169	472.6014960801485	6997
170	475.44023089718075	8393
171	478.278724540955	10621
172	481.1169770114712	13076
173	483.9549883087293	15651
174	486.7927584327293	19043
175	489.6302873834713	22357
176	492.4675751609551	25563
177	495.3046217651809	28569
178	498.1414271961487	31658
179	500.97799145385835	34287
180	503.81431453830993	36115
181	506.6503964495034	37311
182	509.4862371874389	37559
183	512.3218367521164	37151
184	515.1571951435357	35860
185	517.9923123616969	33957
186	520.8271884066	31602
187	523.6618232782452	28661
188	526.4962169766322	25319
189	529.3303695017612	22253
190	532.164280853632	18827
191	534.9979510322448	15973
192	537.8313800375995	13272
193	540.6645678696962	10734
194	543.4975145285348	8871
195	546.3302200141153	7093
196	549.1626843264378	5742
197	551.9949074655021	4672
198	554.8268894313084	3876
199	557.6586302238566	3341
200	560.4901298431469	2773
201	563.3213882891789	2282
202	566.152405561953	2123
203	568.9831816614688	1843
204	571.8137165877267	1652
205	574.6440103407265	1574
206	577.4740629204683	1513
207	580.3038743269519	1532
208	583.1334445601775	1391
209	585.962773620145	1440
210	588.7918615068544	1441
211	591.6207082203058	1507
212	594.4493137604992	1381
213	597.2776781274343	1423
214	600.1058013211115	1381
215	602.9336833415306	1372
216	605.7613241886916	1399
217	608.5887238625945	1364
218	611.4158823632395	1393
219	614.2427996906262	1343
220	617.069475844755	1377
221	619.8959108256255	1413
222	622.7221046332381	1431
223	625.5480572675926	1455
224	628.3737687286891	1387
225	631.1992390165275	1410
226	634.0244681311077	1427
227	636.8494560724299	1393
228	639.6742028404941	1442
229	642.4987084353002	1413
230	645.3229728568482	1410
231	648.1469961051381	1437
232	650.97077818017	1502
233	653.7943190819437	1473
234	656.6176188104595	1503
235	659.4406773657171	1463
236	662.2634947477168	1582
237	665.0860709564582	1578
238	667.9084059919417	1603
239	670.730499854167	1624
240	673.5523525431342	1648
241	676.3739640588435	1625
242	679.1953344012948	1671
243	682.0164635704878	1859
244	684.8373515664227	1815
245	687.6579983890997	1706
246	690.4784040385185	1791
247	693.2985685146792	1911
248	696.118491817582	1841
249	698.9381739472267	1863
250	701.7576149036132	1909
251	704.5768146867417	1874
252	707.3957732966121	1871
253	710.2144907332245	1778
254	713.0329669965788	1934
255	715.851202086675	1838
256	718.6691960035132	1776
257	721.4869487470932	1732
258	724.3044603174152	1731
259	727.1217307144792	1628
260	729.938759938285	1705
261	732.7555479888327	1535
262	735.5720948661225	1571
263	738.3884005701541	1592
264	741.2044651009277	1501
265	744.0202884584432	1464
266	746.8358706427007	1521
267	749.6512116537	1472
268	752.4663114914413	1427
269	755.2811701559244	1411
270	758.0957876471496	1383
271	760.9101639651167	1368
272	763.7242991098257	1427
273	766.5381930812765	1347
274	769.3518458794694	1380
275	772.1652575044042	1386
276	774.9784279560808	1287
277	777.7913572344996	1372
278	780.6040453396602	1265
279	783.4164922715626	1326
