Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.41
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	505.76
Elapsed Live Time:	477.92
Start Time:	March 18, 2024, 10:41:34
End Time:	March 18, 2024, 10:50:18
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		1
1		0
2		0
3		1
4		1
5		0
6		3
7		4
8		11
9		15
10		15
11		10
12		7
13		19
14		29
15		692
16		5345
17		5978
18		6377
19		6780
20		6943
21		7237
22		7341
23		7576
24		7645
25		7624
26		7762
27		7935
28		8129
29		8348
30		8273
31		8232
32		8312
33		8193
34		8276
35		8157
36		8143
37		8051
38		7891
39		7904
40		7665
41		7745
42		7878
43		7760
44		7687
45		7811
46		7777
47		7996
48		8020
49		7963
50		8130
51		8275
52		8385
53		8484
54		8488
55		8370
56		8542
57		8454
58		8641
59		8526
60		8677
61		8642
62		8635
63		8665
64		8646
65		8680
66		8445
67		8916
68		8896
69		8941
70		8936
71		9464
72		9647
73		10143
74		10442
75		11193
76		11715
77		12160
78		12600
79		12801
80		12885
81		12944
82		12984
83		12743
84		12490
85		12478
86		12112
87		11612
88		11588
89		11271
90		11039
91		10936
92		10599
93		10473
94		10335
95		10298
96		10378
97		9983
98		9937
99		9872
100		9676
101		9600
102		9613
103		9442
104		8994
105		8988
106		8950
107		8736
108		8495
109		8483
110		8405
111		8329
112		8045
113		8020
114		7850
115		7755
116		7786
117		7665
118		7694
119		7450
120		7275
121		7286
122		7218
123		7089
124		7130
125		7109
126		7054
127		7058
128		6953
129		7050
130		6829
131		6863
132		6925
133		6782
134		6685
135		6699
136		6872
137		6653
138		6601
139		6317
140		6499
141		6430
142		6438
143		6357
144		6158
145		5948
146		5841
147		5656
148		5350
149		5194
150		4952
151		4653
152		4531
153		4100
154		4100
155		3729
156		3735
157		3554
158		3472
159		3363
160		3165
161		3137
162		2975
163		2979
164		2885
165		2937
166		2805
167		2810
168		2725
169		2685
170		2608
171		2569
172		2622
173		2518
174		2493
175		2331
176		2362
177		2479
178		2338
179		2369
180		2295
181		2301
182		2369
183		2324
184		2270
185		2249
186		2304
187		2301
188		2280
189		2210
190		2233
191		2205
192		2258
193		2193
194		2223
195		2270
196		2227
197		2276
198		2256
199		2285
200		2302
201		2296
202		2282
203		2205
204		2368
205		2295
206		2380
207		2308
208		2422
209		2483
210		2628
211		2732
212		3148
213		3415
214		3987
215		4654
216		5304
217		6285
218		7249
219		8671
220		10421
221		12036
222		14363
223		16068
224		18621
225		20739
226		23039
227		25802
228		27463
229		29592
230		31069
231		32321
232		33104
233		33490
234		32986
235		32474
236		31521
237		30625
238		28168
239		26279
240		24486
241		22070
242		19426
243		17306
244		15377
245		13322
246		11171
247		9553
248		8114
249		7029
250		5937
251		4909
252		4170
253		3583
254		3115
255		2746
256		2407
257		2191
258		1940
259		1794
260		1732
261		1555
262		1542
263		1498
264		1487
265		1444
266		1383
267		1411
268		1370
269		1400
270		1327
271		1347
272		1310
273		1374
274		1380
275		1379
276		1278
277		1373
278		1295
279		1357
280		1383
281		1392
282		1449
283		1372
284		1370
285		1441
286		1375
287		1343
288		1361
289		1393
290		1383
291		1388
292		1349
293		1412
294		1468
295		1460
296		1410
297		1499
298		1385
299		1442
300		1405
301		1518
302		1573
303		1474
304		1512
305		1603
306		1606
307		1627
308		1576
309		1679
310		1725
311		1795
312		1833
313		1799
314		1848
315		1836
316		1901
317		1950
318		1917
319		2005
320		1968
321		1960
322		1990
323		2091
324		1980
325		1975
326		1966
327		1960
328		1907
329		1956
330		1820
331		1822
332		1807
333		1770
334		1758
335		1637
336		1712
337		1636
338		1588
339		1607
340		1571
341		1512
342		1543
343		1483
344		1476
345		1329
346		1412
347		1420
348		1409
349		1392
350		1399
351		1311
352		1313
353		1328
354		1309
355		1281
356		1295
357		1285
358		1296
359		1281
360		1234
361		1234
362		1207
363		1252
364		1215
365		1217
366		1236
367		1186
368		1190
369		1185
370		1230
371		1196
372		1191
373		1198
374		1190
375		1144
376		1179
377		1124
378		1140
379		1088
380		1120
381		1143
382		1154
383		1130
384		1166
385		1167
386		1126
387		1157
388		1097
389		1109
390		1108
391		1107
392		1222
393		1150
394		1179
395		1173
396		1170
397		1180
398		1126
399		1142
400		1136
401		1196
402		1142
403		1159
404		1144
405		1156
406		1176
407		1115
408		1200
409		1125
410		1155
411		1106
412		1198
413		1177
414		1240
415		1170
416		1182
417		1161
418		1174
419		1211
420		1196
421		1194
422		1203
423		1233
424		1183
425		1215
426		1257
427		1236
428		1236
429		1254
430		1283
431		1206
432		1261
433		1277
434		1295
435		1263
436		1352
437		1281
438		1254
439		1259
440		1268
441		1311
442		1197
443		1328
444		1303
445		1342
446		1306
447		1289
448		1285
449		1304
450		1304
451		1320
452		1326
453		1355
454		1335
455		1393
456		1331
457		1325
458		1393
459		1285
460		1301
461		1351
462		1355
463		1361
464		1346
465		1325
466		1376
467		1227
468		1168
469		1254
470		1283
471		1225
472		1243
473		1217
474		1191
475		1117
476		1115
477		1139
478		1059
479		1040
480		1045
481		974
482		1001
483		924
484		949
485		901
486		871
487		871
488		828
489		840
490		776
491		755
492		714
493		734
494		710
495		706
496		694
497		702
498		646
499		592
500		624
501		619
502		566
503		605
504		557
505		555
506		566
507		572
508		556
509		537
510		565
511		527
512		516
513		548
514		519
515		470
516		521
517		491
518		473
519		468
520		455
521		481
522		471
523		424
524		439
525		465
526		475
527		457
528		418
529		429
530		446
531		423
532		430
533		432
534		398
535		401
536		403
537		403
538		389
539		410
540		403
541		370
542		427
543		401
544		439
545		390
546		419
547		477
548		438
549		459
550		471
551		520
552		539
553		571
554		656
555		654
556		731
557		753
558		801
559		869
560		987
561		1052
562		1113
563		1142
564		1294
565		1390
566		1545
567		1647
568		1818
569		1872
570		1992
571		2160
572		2260
573		2333
574		2429
575		2535
576		2594
577		2666
578		2838
579		2905
580		2909
581		2995
582		2912
583		3014
584		3102
585		3048
586		2910
587		2802
588		2920
589		2794
590		2630
591		2545
592		2539
593		2422
594		2312
595		2224
596		2105
597		1968
598		1887
599		1755
600		1632
601		1556
602		1549
603		1341
604		1298
605		1201
606		1142
607		1021
608		942
609		886
610		878
611		823
612		773
613		719
614		701
615		634
616		625
617		563
618		556
619		504
620		512
621		472
622		480
623		429
624		441
625		385
626		403
627		387
628		367
629		379
630		380
631		394
632		352
633		385
634		352
635		366
636		393
637		369
638		358
639		339
640		339
641		320
642		329
643		330
644		367
645		314
646		327
647		339
648		322
649		341
650		336
651		325
652		359
653		355
654		337
655		369
656		334
657		349
658		331
659		337
660		329
661		342
662		344
663		327
664		349
665		366
666		346
667		372
668		371
669		336
670		362
671		349
672		358
673		374
674		350
675		366
676		355
677		381
678		370
679		329
680		396
681		376
682		374
683		385
684		375
685		339
686		363
687		326
688		343
689		331
690		344
691		347
692		324
693		345
694		326
695		319
696		344
697		320
698		350
699		350
700		331
701		320
702		318
703		313
704		290
705		301
706		296
707		302
708		298
709		278
710		285
711		279
712		283
713		251
714		280
715		293
716		250
717		234
718		251
719		257
720		239
721		211
722		259
723		223
724		253
725		231
726		234
727		218
728		228
729		199
730		184
731		197
732		185
733		179
734		178
735		194
736		173
737		156
738		149
739		191
740		154
741		161
742		147
743		148
744		140
745		139
746		141
747		120
748		133
749		131
750		110
751		125
752		124
753		96
754		105
755		84
756		106
757		109
758		93
759		103
760		73
761		87
762		68
763		85
764		82
765		82
766		92
767		73
768		62
769		81
770		69
771		57
772		61
773		55
774		65
775		70
776		71
777		66
778		70
779		63
780		61
781		53
782		50
783		59
784		68
785		69
786		55
787		58
788		61
789		73
790		85
791		70
792		54
793		81
794		70
795		77
796		87
797		84
798		85
799		90
800		78
801		114
802		119
803		115
804		126
805		142
806		120
807		166
808		172
809		179
810		171
811		187
812		201
813		243
814		244
815		247
816		272
817		263
818		299
819		315
820		329
821		286
822		307
823		304
824		324
825		379
826		337
827		336
828		388
829		340
830		362
831		361
832		350
833		352
834		359
835		333
836		331
837		332
838		337
839		327
840		311
841		316
842		278
843		242
844		249
845		268
846		236
847		239
848		242
849		188
850		211
851		175
852		166
853		152
854		147
855		155
856		144
857		122
858		104
859		99
860		113
861		85
862		92
863		88
864		71
865		77
866		52
867		57
868		50
869		46
870		33
871		34
872		40
873		28
874		29
875		23
876		30
877		28
878		18
879		25
880		19
881		17
882		15
883		14
884		13
885		19
886		13
887		14
888		12
889		18
890		16
891		13
892		20
893		13
894		14
895		7
896		14
897		11
898		20
899		15
900		11
901		17
902		11
903		19
904		23
905		16
906		18
907		17
908		17
909		14
910		12
911		17
912		16
913		19
914		22
915		16
916		22
917		24
918		17
919		20
920		16
921		20
922		9
923		16
924		17
925		19
926		12
927		17
928		15
929		11
930		14
931		9
932		17
933		17
934		19
935		8
936		9
937		12
938		17
939		10
940		13
941		3
942		6
943		8
944		8
945		14
946		10
947		5
948		10
949		6
950		7
951		10
952		11
953		7
954		6
955		7
956		3
957		6
958		6
959		4
960		5
961		13
962		7
963		1
964		5
965		5
966		5
967		6
968		4
969		5
970		4
971		2
972		3
973		2
974		3
975		3
976		3
977		2
978		2
979		5
980		3
981		3
982		2
983		5
984		4
985		2
986		0
987		4
988		0
989		1
990		3
991		0
992		2
993		3
994		3
995		4
996		1
997		0
998		6
999		1
1000		0
1001		3
1002		1
1003		1
1004		0
1005		2
1006		3
1007		1
1008		0
1009		2
1010		3
1011		1
1012		1
1013		3
1014		1
1015		2
1016		3
1017		1
1018		2
1019		1
1020		1
1021		2
1022		2
1023		2
