Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.10
Upper Discriminator:	2874
Lower Discriminator:	29
Calibration Coefficients:	-1.2058662903587866E-4	2.879613684275474	-10.609141850512888
Calibration Channels:	418	475	907
Calibration Energies:	1172.0	1330.0	2502.0
Elapsed Real Time:	5418.35
Elapsed Live Time:	5400.83
Start Time:	March 20, 2024, 02:21:29
End Time:	March 20, 2024, 03:51:48
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-10.609141850512888	0
1	-7.729648752866449	0
2	-4.850396828478083	0
3	-1.9713860773477894	0
4	0.9073835005244337	0
5	3.785911905138585	0
6	6.664199136494663	0
7	9.542245194592674	0
8	12.42005007943261	0
9	15.29761379101447	1
10	18.174936329338266	1
11	21.052017694403986	1
12	23.928857886211635	1
13	26.80545690476121	1
14	29.68181475005272	3
15	32.55793142208614	1331
16	35.433806920861514	11716
17	38.30944124637881	12763
18	41.18483439863802	13294
19	44.05998637763916	13909
20	46.93489718338225	14172
21	49.80956681586724	14281
22	52.683995275094176	14641
23	55.558182561063035	14700
24	58.43212867377382	14146
25	61.305833613226554	13991
26	64.17929737942119	13709
27	67.05251997235776	13454
28	69.92550139203627	13248
29	72.79824163845669	12817
30	75.67074071161905	12602
31	78.54299861152333	12031
32	81.41501533816954	11772
33	84.28679089155769	11366
34	87.15832527168776	11110
35	90.02961847855975	10924
36	92.90067051217368	10466
37	95.77148137252954	10361
38	98.64205105962732	10058
39	101.51237957346703	9729
40	104.38246691404868	9682
41	107.25231308137224	9317
42	110.12191807543773	9279
43	112.99128189624517	9176
44	115.86040454379452	9070
45	118.72928601808579	8823
46	121.59792631911901	8559
47	124.46632544689416	8667
48	127.3344834014112	8218
49	130.2024001826702	8267
50	133.07007579067113	8068
51	135.93751022541397	7907
52	138.80470348689875	7790
53	141.67165557512547	7493
54	144.5383664900941	7523
55	147.40483623180467	7318
56	150.27106480025716	7423
57	153.13705219545156	7365
58	156.0027984173879	7364
59	158.8683034660662	7031
60	161.73356734148638	6998
61	164.59859004364853	6948
62	167.4633715725526	6896
63	170.32791192819857	6496
64	173.1922111105865	6606
65	176.05626911971635	6555
66	178.9200859555881	6498
67	181.78366161820182	6382
68	184.64699610755747	6316
69	187.510089423655	6371
70	190.3729415664945	6336
71	193.23555253607591	6146
72	196.09792233239924	6091
73	198.9600509554645	5913
74	201.82193840527174	5949
75	204.68358468182083	5779
76	207.5449897851119	5750
77	210.4061537151449	5696
78	213.2670764719198	5605
79	216.12775805543666	5638
80	218.98819846569543	5585
81	221.8483977026961	5618
82	224.70835576643873	5530
83	227.5680726569233	5513
84	230.42754837414975	5315
85	233.28678291811818	5502
86	236.14577628882853	5306
87	239.00452848628078	5166
88	241.86303951047498	5146
89	244.72130936141113	5083
90	247.57933803908915	5093
91	250.43712554350915	5097
92	253.29467187467108	4926
93	256.15197703257485	4938
94	259.0090410172206	4893
95	261.8658638286083	4915
96	264.7224454667379	4678
97	267.5787859316095	4814
98	270.434885223223	4707
99	273.2907433415784	4682
100	276.1463602866757	4712
101	279.00173605851495	4512
102	281.8568706570961	4670
103	284.7117640824193	4601
104	287.5664163344843	4548
105	290.4208274132913	4441
106	293.27499731884024	4394
107	296.12892605113103	4487
108	298.98261361016375	4514
109	301.8360599959385	4312
110	304.6892652084551	4451
111	307.54222924771364	4385
112	310.3949521137141	4404
113	313.2474338064565	4376
114	316.09967432594084	4302
115	318.95167367216715	4395
116	321.8034318451353	4433
117	324.65494884484536	4235
118	327.50622467129745	4234
119	330.3572593244914	4254
120	333.2080528044273	4206
121	336.0586051111052	4287
122	338.9089162445249	4062
123	341.75898620468655	4014
124	344.60881499159024	4080
125	347.45840260523573	4060
126	350.3077490456232	4115
127	353.1568543127526	4060
128	356.00571840662394	4022
129	358.85434132723714	4046
130	361.70272307459237	3949
131	364.55086364868947	4022
132	367.3987630495285	3836
133	370.2464212771095	4089
134	373.0938383314324	3945
135	375.9410142124972	3932
136	378.78794892030396	3899
137	381.6346424548526	3987
138	384.4810948161432	3945
139	387.3273060041758	4006
140	390.1732760189502	3868
141	393.0190048604666	3903
142	395.86449252872495	3772
143	398.7097390237252	3804
144	401.5547443454673	3888
145	404.3995084939515	3771
146	407.2440314691775	3802
147	410.08831327114547	3898
148	412.9323538998554	3728
149	415.7761533553072	3643
150	418.6197116375009	3571
151	421.46302874643663	3755
152	424.3061046821142	3758
153	427.1489394445337	3809
154	429.9915330336952	3605
155	432.8338854495986	3662
156	435.67599669224387	3545
157	438.5178667616311	3669
158	441.3594956577603	3646
159	444.2008833806314	3589
160	447.04202993024444	3536
161	449.8829353065994	3677
162	452.72359950969627	3715
163	455.56402253953513	3632
164	458.40420439611586	3598
165	461.2441450794385	3606
166	464.08384458950314	3554
167	466.92330292630965	3591
168	469.76252008985807	3456
169	472.6014960801485	3380
170	475.44023089718075	3502
171	478.278724540955	3516
172	481.1169770114712	3365
173	483.9549883087293	3434
174	486.7927584327293	3543
175	489.6302873834713	3357
176	492.4675751609551	3457
177	495.3046217651809	3444
178	498.1414271961487	3424
179	500.97799145385835	3489
180	503.81431453830993	3390
181	506.6503964495034	3364
182	509.4862371874389	3415
183	512.3218367521164	3277
184	515.1571951435357	3401
185	517.9923123616969	3224
186	520.8271884066	3291
187	523.6618232782452	3300
188	526.4962169766322	3323
189	529.3303695017612	3218
190	532.164280853632	3304
191	534.9979510322448	3262
192	537.8313800375995	3348
193	540.6645678696962	3289
194	543.4975145285348	3258
195	546.3302200141153	3273
196	549.1626843264378	3275
197	551.9949074655021	3296
198	554.8268894313084	3208
199	557.6586302238566	3217
200	560.4901298431469	3167
201	563.3213882891789	3236
202	566.152405561953	3271
203	568.9831816614688	3244
204	571.8137165877267	3208
205	574.6440103407265	3154
206	577.4740629204683	3141
207	580.3038743269519	3209
208	583.1334445601775	3175
209	585.962773620145	3182
210	588.7918615068544	3137
211	591.6207082203058	3092
212	594.4493137604992	3073
213	597.2776781274343	3144
214	600.1058013211115	3045
215	602.9336833415306	2979
216	605.7613241886916	3087
217	608.5887238625945	3206
218	611.4158823632395	3115
219	614.2427996906262	3088
220	617.069475844755	3038
221	619.8959108256255	3059
222	622.7221046332381	3132
223	625.5480572675926	3093
224	628.3737687286891	3120
225	631.1992390165275	3117
226	634.0244681311077	3118
227	636.8494560724299	3055
228	639.6742028404941	3116
229	642.4987084353002	3148
230	645.3229728568482	2967
231	648.1469961051381	3104
232	650.97077818017	2938
233	653.7943190819437	3007
234	656.6176188104595	2982
235	659.4406773657171	2867
236	662.2634947477168	2914
237	665.0860709564582	2998
238	667.9084059919417	2964
239	670.730499854167	2800
240	673.5523525431342	2890
241	676.3739640588435	2905
242	679.1953344012948	2861
243	682.0164635704878	2830
244	684.8373515664227	2821
245	687.6579983890997	2708
246	690.4784040385185	2842
247	693.2985685146792	2704
248	696.118491817582	2747
249	698.9381739472267	2720
250	701.7576149036132	2697
251	704.5768146867417	2703
252	707.3957732966121	2581
253	710.2144907332245	2715
254	713.0329669965788	2704
255	715.851202086675	2612
256	718.6691960035132	2675
257	721.4869487470932	2663
258	724.3044603174152	2567
259	727.1217307144792	2569
260	729.938759938285	2626
261	732.7555479888327	2578
262	735.5720948661225	2593
263	738.3884005701541	2596
264	741.2044651009277	2593
265	744.0202884584432	2503
266	746.8358706427007	2586
267	749.6512116537	2550
268	752.4663114914413	2401
269	755.2811701559244	2453
270	758.0957876471496	2409
271	760.9101639651167	2510
272	763.7242991098257	2495
273	766.5381930812765	2501
274	769.3518458794694	2522
275	772.1652575044042	2480
276	774.9784279560808	2552
277	777.7913572344996	2409
278	780.6040453396602	2355
279	783.4164922715626	2456
280	786.2286980302069	2411
