#	Count	Temp (Vid 1)	Temp (Vid 2)	ChangeTemp(Vid1)	ChangeTemp(Vid2)
1	61.8	61.0	-0.4	-0.4
2	61.5	60.7	-0.3	-0.3
3	61.1	60.4	-0.4	-0.3
4	60.8	60.1	-0.3	-0.3
5	60.5	59.8	-0.3	-0.3
6	60.2	59.6	-0.3	-0.2
7	59.9	59.3	-0.3	-0.3
8	59.6	59.1	-0.3	-0.2
9	59.3	58.8	-0.3	-0.3
10	59.1	58.5	-0.2	-0.3
11	58.8	58.2	-0.3	-0.3
12	58.5	58.0	-0.3	-0.2
13	58.3	57.7	-0.2	-0.3
14	58.0	57.5	-0.3	-0.2
15	57.7	57.2	-0.3	-0.3
16	57.5	57.0	-0.2	-0.2
17	57.2	56.6	-0.3	-0.4
18	56.9	56.5	-0.3	-0.1
19	56.6	56.1	-0.3	-0.4
20	56.4	55.8	-0.2	-0.3
21	56.1	55.6	-0.3	-0.2
22	55.9	55.3	-0.2	-0.3
23	55.6	55.1	-0.3	-0.2
24	55.3	54.8	-0.3	-0.3
25	55.1	54.5	-0.2	-0.3
26	54.8	54.2	-0.3	-0.3
27	54.5	54.0	-0.3	-0.2
28	54.3	53.7	-0.2	-0.3
29	54.0	53.4	-0.3	-0.3
30	53.7	52.9	-0.3	-0.5
31	53.4	52.6	-0.3	-0.3
32	53.1	52.3	-0.3	-0.3
33	52.8	52.1	-0.3	-0.2
34	52.5	51.8	-0.3	-0.3
35	52.4	51.6	-0.1	-0.2
36	52.0	51.3	-0.4	-0.3
37	51.7	51.0	-0.3	-0.3
38	51.5	50.7	-0.2	-0.3
39	51.2	50.5	-0.3	-0.2
40	50.9	50.2	-0.3	-0.3
41	50.7	49.9	-0.2	-0.3
42	50.4	49.7	-0.3	-0.2
43	50.2	49.4	-0.2	-0.3
44	49.9	49.2	-0.3	-0.2
45	49.6	48.8	-0.3	-0.4
46	49.4	48.6	-0.2	-0.2
47	49.1	48.3	-0.3	-0.3
48	48.8	48.1	-0.3	-0.2
49	48.6	47.8	-0.2	-0.3
50	48.3	47.5	-0.3	-0.3
51	48.0	47.2	-0.3	-0.3
52	47.7	46.9	-0.3	-0.3
53	47.5	46.7	-0.2	-0.2
54	47.2	46.4	-0.3	-0.3
55	47.0	46.1	-0.2	-0.3
56	46.7	45.9	-0.3	-0.2
57	46.4	45.6	-0.3	-0.3
58	46.2	45.3	-0.2	-0.3
59	45.9	45.1	-0.3	-0.2
60	45.7	44.8	-0.2	-0.3
61	45.3	44.5	-0.4	-0.3
62	45.1	44.2	-0.2	-0.3
63	44.8	44.0	-0.3	-0.2
64	44.5	43.7	-0.3	-0.3
65	44.3	43.4	-0.2	-0.3
66	44.0	43.1	-0.3	-0.3
67	43.7	42.9	-0.3	-0.2
68	43.5	42.7	-0.2	-0.2
69	43.2	42.3	-0.3	-0.4
70	42.9	42.1	-0.3	-0.2
71	42.7	41.8	-0.2	-0.3
72	42.4	41.6	-0.3	-0.2
73	42.1	41.3	-0.3	-0.3
74	41.8	41.0	-0.3	-0.3
75	41.5	40.8	-0.3	-0.2
76	41.3	40.5	-0.2	-0.3
77	41.0	40.2	-0.3	-0.3
78	40.8	40.0	-0.2	-0.2
79	40.5	39.7	-0.3	-0.3
80	40.2	39.4	-0.3	-0.3
81	40.0	39.1	-0.2	-0.3
82	39.7	38.9	-0.3	-0.2
83	39.4	38.6	-0.3	-0.3
84	39.1	38.4	-0.3	-0.2
85	38.9	38.0	-0.2	-0.4
86	38.6	37.5	-0.3	-0.5
87	38.3	37.5	-0.3	0.0
88	38.1	37.3	-0.2	-0.2
89	37.8	37.0	-0.3	-0.3
90	37.5	36.7	-0.3	-0.3
91	37.3	36.5	-0.2	-0.2
92	37.0	36.2	-0.3	-0.3
93	36.8	35.9	-0.2	-0.3
94	36.5	35.7	-0.3	-0.2
95	36.3	35.4	-0.2	-0.3
96	36.0	35.1	-0.3	-0.3
97	35.7	34.8	-0.3	-0.3
98	35.4	34.5	-0.3	-0.3
99	35.2	34.3	-0.2	-0.2
100	34.9	34.0	-0.3	-0.3
101	34.6	33.7	-0.3	-0.3
102	34.4	33.5	-0.2	-0.2
103	34.0	33.2	-0.4	-0.3
104	33.5	32.9	-0.5	-0.3
105	33.2	32.6	-0.3	-0.3
106	33.0	32.4	-0.2	-0.2
107	32.7	32.1	-0.3	-0.3
108	32.4	31.8	-0.3	-0.3
109	32.2	31.5	-0.2	-0.3
110	31.9	31.3	-0.3	-0.2
111	31.6	31.0	-0.3	-0.3
112	31.4	30.7	-0.2	-0.3
113	31.0	30.4	-0.4	-0.3
114	30.8	30.1	-0.2	-0.3
