# 	Count	Temp (Vid 1)	Temp (Vid 2)	ChangeTemp(Vid1)	ChangeTemp(Vid2)
1	23.1	30.7	0.3	0.3
2	23.3	31.2	0.2	0.5
3	23.7	31.5	0.4	0.3
4	24.1	31.8	0.4	0.3
5	24.4	32.1	0.3	0.3
6	24.7	32.5	0.3	0.4
7	24.9	32.7	0.2	0.2
8	25.2	33.0	0.3	0.3
9	25.5	33.3	0.3	0.3
10	25.8	34.0	0.3	0.7
11	26.2	34.6	0.4	0.6
12	26.5	35.2	0.3	0.6
13	26.8	35.6	0.3	0.4
14	27.1	36.1	0.3	0.5
15	27.5	36.4	0.4	0.3
16	27.9	36.8	0.4	0.4
17	28.3	36.9	0.4	0.1
18	28.6	37.2	0.3	0.3
19	29.0	37.5	0.4	0.3
20	29.4	37.7	0.4	0.2
21	29.8	38.2	0.4	0.5
22	30.2	38.3	0.4	0.1
23	30.5	38.6	0.3	0.3
24	30.8	38.8	0.3	0.2
25	31.2	39.1	0.4	0.3
26	31.5	39.4	0.3	0.3
27	31.9	39.5	0.4	0.1
28	32.1	39.9	0.2	0.4
29	32.5	40.2	0.4	0.3
30	32.9	40.5	0.4	0.3
31	33.1	40.7	0.2	0.2
32	33.5	41.1	0.4	0.4
33	33.9	41.3	0.4	0.2
34	34.2	41.5	0.3	0.2
35	34.5	41.8	0.3	0.3
36	34.7	42.2	0.2	0.4
37	35.1	42.3	0.4	0.1
38	35.5	42.6	0.4	0.3
39	35.7	42.8	0.2	0.2
40	36.1	43.1	0.4	0.3
41	36.4	43.4	0.3	0.3
42	36.7	43.6	0.3	0.2
43	37.0	44.0	0.3	0.4
44	37.3	44.3	0.3	0.3
45	37.6	44.5	0.3	0.2
46	37.9	44.8	0.3	0.3
47	38.2	45.0	0.3	0.2
48	38.6	45.3	0.4	0.3
49	38.9	45.7	0.3	0.4
50	39.2	45.9	0.3	0.2
51	39.5	46.2	0.3	0.3
52	39.8	46.4	0.3	0.2
53	40.1	46.7	0.3	0.3
54	40.5	46.9	0.4	0.2
55	40.8	47.3	0.3	0.4
56	41.1	47.5	0.3	0.2
57	41.4	47.8	0.3	0.3
58	41.7	48.0	0.3	0.2
59	42.0	48.4	0.3	0.4
60	42.3	48.6	0.3	0.2
61	42.6	48.8	0.3	0.2
62	43.0	49.2	0.4	0.4
63	43.2	49.4	0.2	0.2
64	43.5	49.7	0.3	0.3
65	43.8	49.9	0.3	0.2
66	44.2	50.2	0.4	0.3
67	44.5	50.5	0.3	0.3
68	44.8	50.7	0.3	0.2
69	45.1	51.0	0.3	0.3
70	45.4	51.3	0.3	0.3
71	45.8	51.5	0.4	0.2
72	46.1	51.9	0.3	0.4
73	46.3	52.1	0.2	0.2
74	46.6	52.4	0.3	0.3
75	46.9	52.6	0.3	0.2
76	47.2	53.0	0.3	0.4
77	47.5	53.3	0.3	0.3
78	47.8	53.5	0.3	0.2
79	48.1	53.8	0.3	0.3
80	48.4	54.0	0.3	0.2
81	48.7	54.3	0.3	0.3
82	49.0	54.5	0.3	0.2
83	49.3	54.5	0.3	0.0
84	49.6	54.9	0.3	0.4
85	49.9	55.2	0.3	0.3
86	50.2	55.7	0.3	0.5
87	50.4	56.0	0.2	0.3
88	50.7	56.3	0.3	0.3
89	51.0	56.6	0.3	0.3
90	51.2	56.9	0.2	0.3
91	51.6	57.1	0.4	0.2
92	51.9	57.4	0.3	0.3
93	52.2	57.6	0.3	0.2
94	52.5	58.0	0.3	0.4
95	52.8	58.2	0.3	0.2
96	53.1	58.5	0.3	0.3
97	53.5	58.8	0.4	0.3
98	53.7	59.1	0.2	0.3
99	54.0	59.3	0.3	0.2
100	54.3	59.5	0.3	0.2
101	54.7	60.0	0.4	0.5
102	55.0	60.2	0.3	0.2
103	55.2	60.5	0.2	0.3
104	55.6	60.8	0.4	0.3
105	55.9	61.1	0.3	0.3
106	56.2	61.4	0.3	0.3
107	56.5	61.5	0.3	0.1
108	56.7	61.8	0.2	0.3
109	57.0	62.1	0.3	0.3
110	57.4	62.4	0.4	0.3
111	57.7	62.7	0.3	0.3
112	58.0	62.9	0.3	0.2
113	58.3	63.2	0.3	0.3
114	58.7	63.5	0.4	0.3
115	58.9	63.7	0.2	0.2
116	59.2	64.0	0.3	0.3
117	59.5	64.3	0.3	0.3
118	59.9	64.5	0.4	0.2
119	60.1	64.9	0.2	0.4
120	60.4	65.1	0.3	0.2
