#Fringes	#Voltage (Trial 1)
1	-8.790
2	-8.460
3	-8.240
4	-8.140
5	-8.040
6	-7.900
7	-7.770
8	-7.640
9	-7.520
10	-7.410
11	-7.300
12	-7.160
13	-7.030
14	-6.940
15	-6.790
16	-6.680
17	-6.520
18	-6.400
19	-6.340
20	-6.270
21	-6.080
22	-5.960
23	-5.860
24	-5.750
25	-5.630
26	-5.570
27	-5.390
28	-5.220
29	-5.100
30	-5.000
31	-4.890
32	-4.780
33	-4.630
34	-4.530
35	-4.440
36	-4.300
37	-4.160
38	-4.070
39	-3.990
40	-3.820
41	-3.700
42	-3.590
43	-3.480
44	-3.330
45	-3.230
46	-3.130
47	-3.040
48	-2.850
50	-2.622
51	-2.638
52	-2.451
53	-2.298
54	-2.225
55	-2.086
56	-1.955
57	-1.832
58	-1.716
59	-1.607
60	-1.503
61	-1.376
62	-1.231
63	-1.116
64	-0.999
65	-0.859
66	-0.773
67	-0.647
68	-0.542
69	-0.405
70	-0.366
71	-0.332
72	-0.183
