#Fringes	Votlage (Trial 2)
1	-8.820
2	-8.680
3	-8.550
4	-8.410
5	-8.300
6	-8.180
7	-8.070
8	-7.960
9	-7.840
10	-7.460
11	-7.400
12	-7.010
13	-6.890
14	-6.780
15	-6.660
16	-6.550
17	-6.440
18	-6.230
19	-6.110
20	-6.070
21	-5.920
22	-5.820
23	-5.720
24	-5.580
25	-5.490
26	-5.360
27	-5.230
28	-5.100
29	-4.980
30	-4.860
31	-4.750
32	-4.630
33	-4.530
34	-4.390
35	-4.280
36	-4.180
37	-4.050
38	-3.970
39	-3.820
40	-3.690
41	-3.580
42	-3.470
43	-3.350
44	-3.220
45	-3.100
46	-2.980
47	-2.820
48	-2.657
49	-2.626
50	-2.539
51	-2.377
52	-2.247
53	-2.199
54	-2.031
55	-1.949
56	-1.804
57	-1.667
58	-1.540
59	-1.451
60	-1.285
61	-0.983
62	-0.878
63	-0.724
64	-0.604
65	-0.473
66	-0.369
67	-0.244
68	-0.144
69	-0.074
