#Fringes	Voltage (Trial 3)
1	-9.290
2	-8.790
3	-8.520
4	-8.350
5	-8.270
6	-8.100
7	-7.990
8	-7.800
9	-7.740
10	-7.620
11	-7.460
12	-7.360
13	-7.280
14	-7.130
15	-7.000
16	-6.870
17	-6.760
18	-6.650
19	-6.540
20	-6.400
21	-6.280
22	-6.150
23	-6.060
24	-5.950
25	-5.840
26	-5.680
27	-5.610
28	-5.470
29	-5.400
30	-5.270
31	-5.080
32	-4.950
33	-4.890
34	-4.770
35	-4.660
36	-4.540
37	-4.380
38	-4.270
39	-4.170
40	-4.020
41	-3.920
42	-3.780
43	-3.690
44	-3.560
45	-3.430
46	-3.310
47	-3.200
48	-3.080
49	-2.980
50	-2.870
51	-2.780
52	-2.598
53	-2.508
54	-2.394
55	-2.286
56	-2.186
57	-2.035
58	-1.908
59	-1.804
60	-1.647
61	-1.530
62	-1.418
63	-1.313
64	-1.216
65	-1.084
66	-0.966
67	-0.828
68	-0.737
69	-0.606
70	-0.499
71	-0.364
72	-0.250
