#Fringes	#Voltage (Trial 1)
1	-0.031
2	-0.353
3	-0.524
4	-0.754
5	-0.889
6	-0.953
7	-1.127
8	-1.232
9	-1.356
10	-1.473
11	-1.677
12	-1.765
13	-1.857
14	-2.209
15	-2.386
16	-2.875
17	-2.891
18	-3.350
19	-3.380
20	-3.980
21	-3.620
22	-3.750
23	-3.870
24	-3.940
25	-4.050
26	-4.180
27	-4.370
28	-4.500
29	-4.620
30	-4.700
31	-4.770
32	-4.910
33	-5.010
34	-5.170
35	-5.420
36	-5.590
37	-5.990
38	-5.990
39	-6.130
40	-6.250
41	-6.310
42	-6.480
43	-6.590
44	-6.690
45	-6.830
46	-6.910
47	-7.080
48	-7.190
49	-7.290
50	-7.390
51	-7.510
52	-7.630
53	-7.730
54	-7.870
55	-7.980
56	-8.100
57	-8.250
58	-8.340
59	-8.570
60	-8.720
61	-8.830
62	-8.940
63	-9.060
64	-9.190
65	-9.300
66	-9.410
67	-9.580
68	-9.650
69	-9.760
70	-9.890
