#Fringes	Votlage (Trial 2)
1	-0.655
2	-0.784
3	-0.925
4	-1.001
5	-1.163
6	-1.239
7	-1.385
8	-1.498
9	-1.600
10	-1.695
11	-1.870
12	-1.951
13	-2.137
14	-2.206
15	-2.335
16	-2.456
17	-2.568
18	-2.699
19	-2.800
20	-3.320
21	-3.500
22	-3.670
23	-3.790
24	-3.850
25	-4.010
26	-4.080
27	-4.200
28	-4.340
29	-4.470
30	-4.600
31	-4.680
32	-4.830
33	-4.940
34	-5.070
35	-5.200
36	-5.290
37	-5.410
38	-5.550
39	-5.650
40	-5.800
41	-5.890
42	-6.000
43	-6.150
44	-6.240
45	-6.350
46	-6.460
47	-6.600
48	-6.720
49	-6.840
50	-6.950
51	-7.050
52	-7.170
53	-7.370
54	-7.410
55	-7.550
56	-7.780
57	-7.910
58	-8.020
59	-8.130
60	-8.260
61	-8.350
62	-8.460
63	-8.590
64	-8.730
65	-8.850
66	-8.970
67	-9.090
68	-9.220
69	-9.330
70	-9.470
