#Fringes	Voltage (Trial 4)
1	-0.707
2	-1.111
3	-1.689
4	-1.772
5	-1.959
6	-2.042
7	-2.178
8	-2.286
9	-2.402
10	-2.673
11	-2.804
12	-2.860
13	-2.955
14	-2.986
15	-3.100
16	-3.283
17	-3.340
18	-3.440
19	-3.590
20	-3.700
21	-3.830
22	-3.930
23	-4.060
24	-4.110
25	-4.290
26	-4.400
27	-4.540
28	-4.660
29	-4.770
30	-4.860
31	-5.000
32	-5.110
33	-5.240
34	-5.360
35	-5.470
36	-5.600
37	-5.710
38	-5.820
39	-5.950
40	-6.070
41	-6.190
42	-6.300
43	-6.460
44	-6.540
45	-6.660
46	-6.770
47	-6.870
48	-7.000
49	-7.120
50	-7.230
51	-7.360
52	-7.480
53	-7.610
54	-7.700
55	-7.830
56	-7.950
57	-8.070
58	-8.220
59	-8.300
60	-8.440
61	-8.540
62	-8.660
63	-8.770
64	-8.900
65	-9.020
66	-9.140
67	-9.250
68	-9.380
69	-9.510
70	-9.620
