# Current (A)	Initial Angle (deg)	Final Angle (deg)	dAngle (deg)
2.99	101.8333333	104.1666667	-2.333333333
2	101.4166667	103.8333333	-2.416666667
1	101.6666667	102	-0.3333333333
1	101.6666667	102.5833333	-0.9166666667
-3	101.75	98.58333333	3.166666667
-2.03	101.8333333	99.91666667	1.916666667
-0.94	101.4166667	101.3333333	0.08333333333
-3.5	100.75	97.83333333	2.916666667
-2.5	101.0833333	98.41666667	2.666666667
-1.49	101.4166667	100	1.416666667
-0.49	101.3333333	101.1666667	0.1666666667
-3.98	101.0833333	97.5	3.583333333
3.49	101.4166667	105.1666667	-3.75
3.97	101.4166667	105.3333333	-3.916666667
2.5	101.4166667	104.0833333	-2.666666667
1.48	101.25	102.6666667	-1.416666667
0.48	101.5833333	102.1666667	-0.5833333333
