Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

3.5	75.0
3.6	58.0
3.7	62.0
3.8	49.0
3.9	39.0
4.0	29.0
4.1	40.0
4.2	27.0
4.3	46.0
4.4	51.0
4.5	57.0
4.6	77.0
4.7	73.0
4.8	91.0
4.9	116.0
5.0	132.0
5.1	145.0
5.2	180.0
5.3	233.0
5.4	289.0
5.5	330.0
5.6	331.0
5.7	359.0
5.8	409.0
5.9	442.0
6.0	454.0
6.1	469.0
6.2	509.0
6.3	520.0
6.4	531.0
6.5	589.0
6.6	602.0
6.7	628.0
6.8	604.0
6.9	610.0
7.0	672.0
7.1	671.0
7.2	663.0
7.3	0.0
7.4	722.0
7.5	684.0
7.6	683.0
7.7	667.0
7.8	704.0
7.9	672.0
8.0	693.0
8.1	695.0
8.2	737.0
8.3	747.0
8.4	774.0
8.5	708.0
8.6	772.0
8.7	787.0
8.8	728.0
8.9	758.0
9.0	713.0
9.1	751.0
9.2	728.0
9.3	773.0
9.4	720.0
9.5	712.0
9.6	729.0
9.7	739.0
9.8	766.0
9.9	760.0
10.0	724.0
10.1	747.0
10.2	735.0
10.3	748.0
10.4	758.0
10.5	741.0
10.6	751.0
10.7	754.0
10.8	706.0
10.9	765.0
11.0	706.0
11.1	788.0
11.2	725.0
11.3	701.0
11.4	690.0
11.5	716.0
11.6	700.0
11.7	634.0
11.8	658.0
11.9	632.0
12.0	663.0
12.1	644.0
12.2	669.0
12.3	619.0
12.4	649.0
12.5	649.0
12.6	578.0
12.7	619.0
12.8	605.0
12.9	627.0
13.0	634.0
13.1	582.0
13.2	555.0
13.3	547.0
13.4	530.0
13.5	509.0
13.6	509.0
13.7	469.0
13.8	460.0
13.9	417.0
14.0	412.0
14.1	428.0
14.2	419.0
14.3	409.0
14.4	388.0
14.5	374.0
14.6	372.0
14.7	377.0
14.8	357.0
14.9	378.0
15.0	361.0
15.1	360.0
15.2	350.0
15.3	362.0
15.4	359.0
15.5	385.0
15.6	327.0
15.7	335.0
15.8	323.0
15.9	327.0
16.0	316.0
16.1	309.0
16.2	351.0
16.3	314.0
16.4	305.0
16.5	303.0
16.6	316.0
16.7	276.0
16.8	283.0
16.9	262.0
17.0	264.0
17.1	283.0
17.2	266.0
17.3	277.0
17.4	276.0
17.5	266.0
17.6	266.0
17.7	269.0
17.8	240.0
17.9	225.0
18.0	251.0
18.1	250.0
18.2	217.0
18.3	231.0
18.4	218.0
18.5	211.0
18.6	215.0
18.7	215.0
18.8	216.0
18.9	210.0
19.0	207.0
19.1	199.0
19.2	191.0
19.3	194.0
19.4	157.0
19.5	172.0
19.6	148.0
19.7	188.0
19.8	178.0
19.9	201.0
20.0	419.0
20.1	1525.0
20.2	2699.0
20.3	2734.0
20.4	1732.0
20.5	581.0
20.6	308.0
20.7	289.0
20.8	254.0
20.9	232.0
21.0	217.0
21.1	227.0
21.2	216.0
21.3	235.0
21.4	226.0
21.5	212.0
21.6	238.0
21.7	201.0
21.8	191.0
21.9	202.0
22.0	211.0
22.1	209.0
22.2	381.0
22.3	899.0
22.4	6745.0
22.5	8548.0
22.6	7348.0
22.7	4219.0
22.8	1638.0
22.9	266.0
23.0	216.0
23.1	213.0
23.2	182.0
23.3	160.0
23.4	149.0
23.5	141.0
23.6	177.0
23.7	163.0
23.8	127.0
23.9	139.0
24.0	130.0
24.1	143.0
24.2	115.0
24.3	119.0
24.4	118.0
24.5	125.0
24.6	110.0
24.7	101.0
24.8	125.0
24.9	106.0
25.0	102.0
