Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

0.0	13347.0
0.1	12959.0
0.2	12791.0
0.3	12783.0
0.4	13126.0
0.5	13184.0
0.6	13149.0
0.7	13828.0
0.8	15794.0
0.9	12519.0
1.0	6817.0
1.1	5848.0
1.2	5832.0
1.3	5629.0
1.4	5483.0
1.5	5173.0
1.6	4584.0
1.7	4177.0
1.8	3673.0
1.9	3277.0
2.0	2638.0
2.1	2389.0
2.2	2187.0
2.3	2256.0
2.4	2052.0
2.5	1720.0
2.6	1585.0
2.7	1079.0
2.8	770.0
2.9	392.0
3.0	223.0
3.1	207.0
3.2	195.0
3.3	177.0
3.4	222.0
3.5	218.0
3.6	170.0
3.7	200.0
3.8	193.0
3.9	190.0
4.0	205.0
4.1	201.0
4.2	195.0
4.3	190.0
4.4	215.0
4.5	201.0
4.6	219.0
4.7	215.0
4.8	232.0
4.9	226.0
5.0	246.0
5.1	224.0
5.2	241.0
5.3	230.0
5.4	235.0
5.5	251.0
5.6	280.0
5.7	274.0
5.8	256.0
5.9	241.0
6.0	262.0
6.1	266.0
6.2	263.0
6.3	273.0
6.4	263.0
6.5	265.0
6.6	226.0
6.7	253.0
6.8	280.0
6.9	263.0
7.0	269.0
7.1	256.0
7.2	247.0
7.3	216.0
7.4	254.0
7.5	223.0
7.6	195.0
7.7	220.0
7.8	229.0
7.9	226.0
8.0	361.0
8.1	451.0
8.2	526.0
8.3	453.0
8.4	455.0
8.5	476.0
8.6	444.0
8.7	414.0
8.8	477.0
8.9	428.0
9.0	431.0
9.1	408.0
9.2	391.0
9.3	438.0
9.4	411.0
9.5	410.0
9.6	367.0
9.7	388.0
9.8	381.0
9.9	368.0
10.0	355.0
10.1	353.0
10.2	316.0
10.3	357.0
10.4	330.0
10.5	302.0
10.6	294.0
10.7	327.0
10.8	304.0
10.9	287.0
11.0	248.0
11.1	279.0
11.2	285.0
11.3	267.0
11.4	264.0
11.5	217.0
11.6	217.0
11.7	221.0
11.8	212.0
11.9	230.0
12.0	545.0
12.1	1932.0
12.2	2454.0
12.3	2139.0
12.4	1438.0
12.5	402.0
12.6	299.0
12.7	277.0
12.8	244.0
12.9	276.0
13.0	250.0
13.1	235.0
13.2	327.0
13.3	914.0
13.4	4261.0
13.5	7321.0
13.6	6863.0
13.7	4373.0
13.8	894.0
13.9	283.0
14.0	218.0
14.1	180.0
14.2	169.0
14.3	161.0
14.4	148.0
14.5	156.0
14.6	163.0
14.7	134.0
14.8	121.0
14.9	106.0
15.0	117.0
15.1	112.0
15.2	115.0
15.3	91.0
15.4	85.0
15.5	114.0
15.6	108.0
15.7	90.0
15.8	85.0
15.9	90.0
16.0	79.0
16.1	99.0
16.2	91.0
16.3	122.0
16.4	114.0
16.5	138.0
16.6	120.0
16.7	108.0
16.8	131.0
16.9	96.0
17.0	108.0
17.1	104.0
17.2	103.0
17.3	97.0
17.4	113.0
17.5	100.0
17.6	108.0
17.7	90.0
17.8	120.0
17.9	101.0
18.0	80.0
18.1	93.0
18.2	103.0
18.3	76.0
18.4	87.0
18.5	85.0
18.6	95.0
18.7	85.0
18.8	71.0
18.9	74.0
19.0	79.0
19.1	69.0
19.2	84.0
19.3	83.0
19.4	62.0
19.5	62.0
19.6	60.0
19.7	71.0
19.8	69.0
19.9	82.0
20.0	74.0
20.1	68.0
20.2	65.0
20.3	66.0
20.4	65.0
20.5	68.0
20.6	58.0
20.7	67.0
20.8	62.0
20.9	65.0
21.0	62.0
21.1	59.0
21.2	62.0
21.3	73.0
21.4	63.0
21.5	63.0
21.6	52.0
21.7	62.0
21.8	71.0
21.9	66.0
22.0	46.0
22.1	66.0
22.2	53.0
22.3	55.0
22.4	60.0
22.5	60.0
22.6	55.0
22.7	50.0
22.8	58.0
22.9	38.0
23.0	53.0
23.1	54.0
23.2	46.0
23.3	31.0
23.4	61.0
23.5	46.0
23.6	41.0
23.7	43.0
23.8	41.0
23.9	53.0
24.0	41.0
24.1	42.0
24.2	35.0
24.3	43.0
24.4	40.0
24.5	34.0
24.6	64.0
24.7	98.0
24.8	209.0
24.9	614.0
25.0	557.0
25.1	340.0
25.2	107.0
25.3	61.0
25.4	72.0
25.5	71.0
25.6	68.0
25.7	48.0
25.8	61.0
25.9	44.0
26.0	53.0
26.1	54.0
26.2	63.0
26.3	58.0
26.4	65.0
26.5	59.0
26.6	77.0
26.7	61.0
26.8	42.0
26.9	53.0
27.0	51.0
27.1	52.0
27.2	45.0
27.3	49.0
27.4	52.0
27.5	80.0
27.6	216.0
27.7	1162.0
27.8	2015.0
27.9	1913.0
28.0	1188.0
28.1	290.0
28.2	92.0
28.3	65.0
28.4	74.0
28.5	54.0
28.6	59.0
28.7	40.0
28.8	38.0
28.9	47.0
29.0	44.0
29.1	45.0
29.2	50.0
29.3	40.0
29.4	39.0
29.5	39.0
29.6	41.0
29.7	48.0
29.8	35.0
29.9	34.0
30.0	44.0
30.1	39.0
30.2	39.0
30.3	35.0
30.4	41.0
30.5	34.0
30.6	38.0
30.7	30.0
30.8	35.0
30.9	36.0
31.0	41.0
31.1	34.0
31.2	32.0
31.3	44.0
31.4	38.0
31.5	38.0
31.6	38.0
31.7	37.0
31.8	34.0
31.9	46.0
32.0	34.0
32.1	45.0
32.2	32.0
32.3	32.0
32.4	32.0
32.5	30.0
32.6	33.0
32.7	36.0
32.8	27.0
32.9	33.0
33.0	25.0
33.1	31.0
33.2	39.0
33.3	22.0
33.4	31.0
33.5	30.0
33.6	31.0
33.7	33.0
33.8	22.0
33.9	28.0
34.0	35.0
34.1	28.0
34.2	35.0
34.3	28.0
34.4	25.0
34.5	35.0
34.6	38.0
34.7	33.0
34.8	30.0
34.9	31.0
35.0	30.0
35.1	40.0
35.2	32.0
35.3	35.0
35.4	27.0
35.5	35.0
35.6	37.0
35.7	32.0
35.8	37.0
35.9	28.0
36.0	34.0
36.1	24.0
36.2	24.0
36.3	28.0
36.4	25.0
36.5	24.0
36.6	29.0
36.7	23.0
36.8	21.0
36.9	24.0
37.0	17.0
37.1	25.0
37.2	26.0
37.3	25.0
37.4	33.0
37.5	32.0
37.6	25.0
37.7	32.0
37.8	32.0
37.9	35.0
38.0	24.0
38.1	29.0
38.2	34.0
38.3	19.0
38.4	21.0
38.5	25.0
38.6	30.0
38.7	30.0
38.8	35.0
38.9	43.0
39.0	39.0
39.1	63.0
39.2	133.0
39.3	140.0
39.4	119.0
39.5	55.0
39.6	44.0
39.7	33.0
39.8	37.0
39.9	30.0
40.0	23.0
40.1	24.0
40.2	37.0
40.3	35.0
40.4	27.0
40.5	30.0
40.6	29.0
40.7	25.0
40.8	28.0
40.9	26.0
41.0	32.0
41.1	24.0
41.2	35.0
41.3	33.0
41.4	28.0
41.5	28.0
41.6	28.0
41.7	23.0
41.8	23.0
41.9	37.0
42.0	24.0
42.1	42.0
42.2	33.0
42.3	31.0
42.4	27.0
42.5	25.0
42.6	25.0
42.7	25.0
42.8	23.0
42.9	21.0
43.0	33.0
43.1	31.0
43.2	26.0
43.3	41.0
43.4	35.0
43.5	26.0
43.6	27.0
43.7	29.0
43.8	31.0
43.9	28.0
44.0	37.0
44.1	41.0
44.2	71.0
44.3	189.0
44.4	429.0
44.5	569.0
44.6	530.0
44.7	251.0
44.8	94.0
44.9	49.0
45.0	37.0
