Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

3.5	76.0
3.6	74.0
3.7	51.0
3.8	49.0
3.9	39.0
4.0	39.0
4.1	34.0
4.2	37.0
4.3	32.0
4.4	48.0
4.5	56.0
4.6	78.0
4.7	80.0
4.8	101.0
4.9	101.0
5.0	129.0
5.1	156.0
5.2	185.0
5.3	207.0
5.4	252.0
5.5	296.0
5.6	301.0
5.7	351.0
5.8	372.0
5.9	405.0
6.0	464.0
6.1	451.0
6.2	475.0
6.3	495.0
6.4	534.0
6.5	506.0
6.6	527.0
6.7	514.0
6.8	576.0
6.9	571.0
7.0	589.0
7.1	628.0
7.2	625.0
7.3	575.0
7.4	585.0
7.5	633.0
7.6	589.0
7.7	626.0
7.8	649.0
7.9	577.0
8.0	628.0
8.1	607.0
8.2	570.0
8.3	611.0
8.4	604.0
8.5	569.0
8.6	623.0
8.7	588.0
8.8	592.0
8.9	596.0
9.0	604.0
9.1	546.0
9.2	535.0
9.3	579.0
9.4	568.0
9.5	577.0
9.6	603.0
9.7	576.0
9.8	569.0
9.9	516.0
10.0	520.0
10.1	521.0
10.2	526.0
10.3	545.0
10.4	534.0
10.5	528.0
10.6	511.0
10.7	527.0
10.8	512.0
10.9	480.0
11.0	511.0
11.1	478.0
11.2	427.0
11.3	459.0
11.4	437.0
11.5	476.0
11.6	415.0
11.7	443.0
11.8	410.0
11.9	412.0
12.0	361.0
12.1	370.0
12.2	412.0
12.3	374.0
12.4	386.0
12.5	378.0
12.6	355.0
12.7	355.0
12.8	343.0
12.9	316.0
13.0	325.0
13.1	312.0
13.2	304.0
13.3	324.0
13.4	275.0
13.5	292.0
13.6	258.0
13.7	255.0
13.8	242.0
13.9	228.0
14.0	207.0
14.1	209.0
14.2	211.0
14.3	218.0
14.4	205.0
14.5	178.0
14.6	172.0
14.7	165.0
14.8	192.0
14.9	179.0
15.0	174.0
15.1	191.0
15.2	161.0
15.3	165.0
15.4	175.0
15.5	170.0
15.6	155.0
15.7	151.0
15.8	159.0
15.9	113.0
16.0	131.0
16.1	139.0
16.2	140.0
16.3	151.0
16.4	135.0
16.5	116.0
16.6	118.0
16.7	114.0
16.8	116.0
16.9	127.0
17.0	112.0
17.1	113.0
17.2	131.0
17.3	124.0
17.4	114.0
17.5	110.0
17.6	111.0
17.7	96.0
17.8	105.0
17.9	93.0
18.0	119.0
18.1	90.0
18.2	85.0
18.3	101.0
18.4	96.0
18.5	66.0
18.6	98.0
18.7	92.0
18.8	83.0
18.9	83.0
19.0	78.0
19.1	73.0
19.2	79.0
19.3	88.0
19.4	85.0
19.5	72.0
19.6	81.0
19.7	72.0
19.8	81.0
19.9	75.0
20.0	76.0
20.1	135.0
20.2	274.0
20.3	284.0
20.4	222.0
20.5	139.0
20.6	79.0
20.7	82.0
20.8	73.0
20.9	70.0
21.0	63.0
21.1	67.0
21.2	69.0
21.3	60.0
21.4	58.0
21.5	73.0
21.6	70.0
21.7	120.0
21.8	112.0
21.9	125.0
22.0	161.0
22.1	161.0
22.2	173.0
22.3	332.0
22.4	3421.0
22.5	5975.0
22.6	5530.0
22.7	4172.0
22.8	2350.0
22.9	231.0
23.0	169.0
23.1	141.0
23.2	117.0
23.3	128.0
23.4	96.0
23.5	97.0
23.6	86.0
23.7	96.0
23.8	0.0
23.9	105.0
24.0	92.0
24.1	87.0
24.2	77.0
24.3	92.0
24.4	91.0
24.5	69.0
24.6	71.0
24.7	73.0
24.8	64.0
24.9	78.0
25.0	63.0
