Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

3.5	81.0
3.6	81.0
3.7	47.0
3.8	59.0
3.9	51.0
4.0	34.0
4.1	41.0
4.2	33.0
4.3	31.0
4.4	40.0
4.5	55.0
4.6	69.0
4.7	76.0
4.8	94.0
4.9	126.0
5.0	123.0
5.1	155.0
5.2	174.0
5.3	226.0
5.4	263.0
5.5	300.0
5.6	346.0
5.7	377.0
5.8	391.0
5.9	414.0
6.0	467.0
6.1	457.0
6.2	529.0
6.3	485.0
6.4	514.0
6.5	557.0
6.6	621.0
6.7	601.0
6.8	602.0
6.9	586.0
7.0	618.0
7.1	621.0
7.2	625.0
7.3	599.0
7.4	618.0
7.5	630.0
7.6	653.0
7.7	591.0
7.8	655.0
7.9	659.0
8.0	661.0
8.1	681.0
8.2	669.0
8.3	671.0
8.4	669.0
8.5	690.0
8.6	673.0
8.7	714.0
8.8	684.0
8.9	733.0
9.0	713.0
9.1	704.0
9.2	734.0
9.3	704.0
9.4	744.0
9.5	692.0
9.6	707.0
9.7	709.0
9.8	684.0
9.9	759.0
10.0	706.0
10.1	681.0
10.2	669.0
10.3	740.0
10.4	735.0
10.5	681.0
10.6	752.0
10.7	742.0
10.8	710.0
10.9	776.0
11.0	665.0
11.1	732.0
11.2	711.0
11.3	702.0
11.4	669.0
11.5	660.0
11.6	627.0
11.7	603.0
11.8	615.0
11.9	646.0
12.0	643.0
12.1	621.0
12.2	637.0
12.3	570.0
12.4	609.0
12.5	594.0
12.6	572.0
12.7	623.0
12.8	578.0
12.9	584.0
13.0	547.0
13.1	598.0
13.2	562.0
13.3	523.0
13.4	494.0
13.5	467.0
13.6	450.0
13.7	424.0
13.8	425.0
13.9	416.0
14.0	398.0
14.1	388.0
14.2	369.0
14.3	381.0
14.4	396.0
14.5	407.0
14.6	367.0
14.7	388.0
14.8	358.0
14.9	346.0
15.0	355.0
15.1	318.0
15.2	359.0
15.3	321.0
15.4	366.0
15.5	318.0
15.6	315.0
15.7	323.0
15.8	307.0
15.9	302.0
16.0	304.0
16.1	311.0
16.2	300.0
16.3	340.0
16.4	300.0
16.5	299.0
16.6	311.0
16.7	257.0
16.8	304.0
16.9	258.0
17.0	268.0
17.1	260.0
17.2	269.0
17.3	245.0
17.4	259.0
17.5	252.0
17.6	246.0
17.7	225.0
17.8	227.0
17.9	236.0
18.0	225.0
18.1	271.0
18.2	227.0
18.3	205.0
18.4	209.0
18.5	255.0
18.6	210.0
18.7	225.0
18.8	204.0
18.9	212.0
19.0	217.0
19.1	200.0
19.2	182.0
19.3	200.0
19.4	206.0
19.5	176.0
19.6	149.0
19.7	177.0
19.8	187.0
19.9	254.0
20.0	588.0
20.1	1781.0
20.2	2652.0
20.3	2660.0
20.4	1652.0
20.5	435.0
20.6	306.0
20.7	281.0
20.8	265.0
20.9	227.0
21.0	222.0
21.1	229.0
21.2	233.0
21.3	230.0
21.4	243.0
21.5	236.0
21.6	196.0
21.7	209.0
21.8	209.0
21.9	199.0
22.0	220.0
22.1	226.0
22.2	545.0
22.3	1366.0
22.4	7078.0
22.5	8568.0
22.6	7480.0
22.7	3713.0
22.8	1181.0
22.9	270.0
23.0	194.0
23.1	192.0
23.2	159.0
23.3	159.0
23.4	162.0
23.5	150.0
23.6	140.0
23.7	161.0
23.8	122.0
23.9	127.0
24.0	132.0
24.1	124.0
24.2	148.0
24.3	136.0
24.4	126.0
24.5	127.0
24.6	111.0
24.7	122.0
24.8	99.0
24.9	127.0
25.0	105.0
