Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

3.5	69.0
3.6	61.0
3.7	50.0
3.8	41.0
3.9	33.0
4.0	25.0
4.1	27.0
4.2	28.0
4.3	36.0
4.4	43.0
4.5	53.0
4.6	65.0
4.7	77.0
4.8	93.0
4.9	95.0
5.0	118.0
5.1	139.0
5.2	152.0
5.3	223.0
5.4	242.0
5.5	294.0
5.6	324.0
5.7	347.0
5.8	395.0
5.9	439.0
6.0	444.0
6.1	499.0
6.2	503.0
6.3	533.0
6.4	570.0
6.5	572.0
6.6	599.0
6.7	613.0
6.8	614.0
6.9	623.0
7.0	673.0
7.1	661.0
7.2	688.0
7.3	683.0
7.4	701.0
7.5	708.0
7.6	695.0
7.7	715.0
7.8	719.0
7.9	707.0
8.0	725.0
8.1	720.0
8.2	727.0
8.3	731.0
8.4	742.0
8.5	740.0
8.6	743.0
8.7	749.0
8.8	744.0
8.9	750.0
9.0	773.0
9.1	744.0
9.2	752.0
9.3	777.0
9.4	776.0
9.5	767.0
9.6	770.0
9.7	749.0
9.8	770.0
9.9	783.0
10.0	760.0
10.1	774.0
10.2	776.0
10.3	754.0
10.4	758.0
10.5	778.0
10.6	773.0
10.7	797.0
10.8	777.0
10.9	786.0
11.0	768.0
11.1	753.0
11.2	781.0
11.3	769.0
11.4	763.0
11.5	729.0
11.6	742.0
11.7	722.0
11.8	711.0
11.9	705.0
12.0	686.0
12.1	666.0
12.2	673.0
12.3	656.0
12.4	668.0
12.5	661.0
12.6	636.0
12.7	654.0
12.8	659.0
12.9	653.0
13.0	633.0
13.1	640.0
13.2	631.0
13.3	590.0
13.4	575.0
13.5	531.0
13.6	508.0
13.7	487.0
13.8	461.0
13.9	446.0
14.0	436.0
14.1	430.0
14.2	413.0
14.3	424.0
14.4	420.0
14.5	409.0
14.6	397.0
14.7	404.0
14.8	393.0
14.9	392.0
15.0	386.0
15.1	363.0
15.2	370.0
15.3	361.0
15.4	397.0
15.5	363.0
15.6	362.0
15.7	366.0
15.8	358.0
15.9	347.0
16.0	334.0
16.1	346.0
16.2	335.0
16.3	336.0
16.4	333.0
16.5	306.0
16.6	317.0
16.7	305.0
16.8	307.0
16.9	302.0
17.0	296.0
17.1	295.0
17.2	286.0
17.3	282.0
17.4	283.0
17.5	282.0
17.6	272.0
17.7	274.0
17.8	266.0
17.9	257.0
18.0	273.0
18.1	262.0
18.2	244.0
18.3	238.0
18.4	233.0
18.5	228.0
18.6	240.0
18.7	244.0
18.8	235.0
18.9	227.0
19.0	216.0
19.1	214.0
19.2	196.0
19.3	197.0
19.4	207.0
19.5	192.0
19.6	201.0
19.7	180.0
19.8	192.0
19.9	187.0
20.0	281.0
20.1	692.0
20.2	2465.0
20.3	2900.0
20.4	2339.0
20.5	1299.0
20.6	397.0
20.7	307.0
20.8	296.0
20.9	261.0
21.0	250.0
21.1	230.0
21.2	227.0
21.3	229.0
21.4	227.0
21.5	226.0
21.6	226.0
21.7	226.0
21.8	220.0
21.9	201.0
22.0	212.0
22.1	223.0
22.2	264.0
22.3	362.0
22.4	3628.0
22.5	8350.0
22.6	7993.0
22.7	6420.0
22.8	4087.0
22.9	430.0
23.0	274.0
23.1	222.0
23.2	189.0
23.3	186.0
23.4	175.0
23.5	159.0
23.6	152.0
23.7	138.0
23.8	154.0
23.9	147.0
24.0	141.0
24.1	137.0
24.2	131.0
24.3	131.0
24.4	129.0
24.5	131.0
24.6	120.0
24.7	113.0
24.8	113.0
24.9	106.0
25.0	112.0
25.1	106.0
25.2	103.0
25.3	102.0
25.4	106.0
25.5	105.0
25.6	92.0
25.7	93.0
25.8	108.0
25.9	92.0
26.0	86.0
26.1	92.0
26.2	89.0
26.3	80.0
26.4	82.0
26.5	81.0
26.6	79.0
26.7	82.0
26.8	85.0
26.9	88.0
27.0	85.0
27.1	78.0
27.2	77.0
27.3	72.0
27.4	64.0
27.5	70.0
27.6	68.0
27.7	62.0
27.8	67.0
27.9	61.0
28.0	59.0
28.1	69.0
28.2	61.0
28.3	48.0
28.4	60.0
28.5	47.0
28.6	56.0
28.7	53.0
28.8	50.0
28.9	55.0
29.0	44.0
29.1	47.0
29.2	40.0
29.3	51.0
29.4	49.0
29.5	47.0
29.6	48.0
29.7	45.0
29.8	46.0
29.9	41.0
30.0	40.0
30.1	42.0
30.2	45.0
30.3	45.0
30.4	38.0
30.5	44.0
30.6	39.0
30.7	39.0
30.8	37.0
30.9	32.0
31.0	34.0
31.1	40.0
31.2	39.0
31.3	35.0
31.4	38.0
31.5	42.0
31.6	36.0
31.7	37.0
31.8	34.0
31.9	30.0
32.0	37.0
32.1	35.0
32.2	35.0
32.3	29.0
32.4	35.0
32.5	37.0
32.6	29.0
32.7	32.0
32.8	32.0
32.9	31.0
33.0	32.0
33.1	31.0
33.2	33.0
33.3	35.0
33.4	29.0
33.5	28.0
33.6	31.0
33.7	25.0
33.8	29.0
33.9	25.0
34.0	31.0
34.1	26.0
