Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

0.0	13570.0
0.1	13346.0
0.2	13317.0
0.3	13296.0
0.4	13345.0
0.5	13797.0
0.6	15325.0
0.7	15387.0
0.8	9592.0
0.9	4849.0
1.0	4104.0
1.1	3887.0
1.2	3805.0
1.3	3792.0
1.4	3661.0
1.5	3525.0
1.6	3296.0
1.7	2957.0
1.8	2605.0
1.9	2275.0
2.0	1815.0
2.1	1571.0
2.2	1200.0
2.3	1233.0
2.4	1369.0
2.5	1374.0
2.6	1206.0
2.7	720.0
2.8	365.0
2.9	172.0
3.0	132.0
3.1	137.0
3.2	113.0
3.3	103.0
3.4	90.0
3.5	69.0
3.6	60.0
3.7	53.0
3.8	43.0
3.9	40.0
4.0	35.0
4.1	37.0
4.2	36.0
4.3	38.0
4.4	43.0
4.5	54.0
4.6	66.0
4.7	74.0
4.8	88.0
4.9	98.0
5.0	121.0
5.1	147.0
5.2	159.0
5.3	203.0
5.4	230.0
5.5	264.0
5.6	307.0
5.7	328.0
5.8	364.0
5.9	369.0
6.0	422.0
6.1	418.0
6.2	441.0
6.3	451.0
6.4	462.0
6.5	488.0
6.6	517.0
6.7	512.0
6.8	534.0
6.9	526.0
7.0	546.0
7.1	547.0
7.2	563.0
7.3	561.0
7.4	553.0
7.5	540.0
7.6	554.0
7.7	538.0
7.8	529.0
7.9	531.0
8.0	548.0
8.1	563.0
8.2	542.0
8.3	542.0
8.4	545.0
8.5	532.0
8.6	527.0
8.7	527.0
8.8	545.0
8.9	534.0
9.0	527.0
9.1	526.0
9.2	504.0
9.3	520.0
9.4	510.0
9.5	511.0
9.6	506.0
9.7	509.0
9.8	493.0
9.9	486.0
10.0	478.0
10.1	490.0
10.2	486.0
10.3	480.0
10.4	478.0
10.5	463.0
10.6	469.0
10.7	451.0
10.8	450.0
10.9	465.0
11.0	431.0
11.1	445.0
11.2	439.0
11.3	409.0
11.4	414.0
11.5	388.0
11.6	390.0
11.7	370.0
11.8	372.0
11.9	368.0
12.0	356.0
12.1	340.0
12.2	345.0
12.3	338.0
12.4	338.0
12.5	318.0
12.6	322.0
12.7	311.0
12.8	303.0
12.9	291.0
13.0	295.0
13.1	287.0
13.2	270.0
13.3	254.0
13.4	249.0
13.5	239.0
13.6	226.0
13.7	214.0
13.8	211.0
13.9	190.0
14.0	192.0
14.1	184.0
14.2	179.0
14.3	183.0
14.4	170.0
14.5	170.0
14.6	164.0
14.7	169.0
14.8	163.0
14.9	166.0
15.0	151.0
15.1	160.0
15.2	152.0
15.3	149.0
15.4	157.0
15.5	134.0
15.6	136.0
15.7	138.0
15.8	134.0
15.9	131.0
16.0	134.0
16.1	125.0
16.2	122.0
16.3	133.0
16.4	114.0
16.5	114.0
16.6	114.0
16.7	112.0
16.8	106.0
16.9	101.0
17.0	103.0
17.1	109.0
17.2	97.0
17.3	101.0
17.4	99.0
17.5	101.0
17.6	94.0
17.7	89.0
17.8	89.0
17.9	81.0
18.0	78.0
18.1	85.0
18.2	92.0
18.3	88.0
18.4	77.0
18.5	79.0
18.6	80.0
18.7	79.0
18.8	82.0
18.9	75.0
19.0	72.0
19.1	70.0
19.2	75.0
19.3	69.0
19.4	68.0
19.5	64.0
19.6	64.0
19.7	68.0
19.8	66.0
19.9	69.0
20.0	101.0
20.1	180.0
20.2	263.0
20.3	272.0
20.4	179.0
20.5	86.0
20.6	68.0
20.7	67.0
20.8	69.0
20.9	63.0
21.0	61.0
21.1	60.0
21.2	65.0
21.3	66.0
21.4	58.0
21.5	66.0
21.6	81.0
21.7	106.0
21.8	132.0
21.9	141.0
22.0	151.0
22.1	162.0
22.2	304.0
22.3	773.0
22.4	4824.0
22.5	5986.0
22.6	5291.0
22.7	2894.0
22.8	941.0
22.9	179.0
23.0	151.0
23.1	129.0
23.2	112.0
23.3	116.0
23.4	99.0
23.5	95.0
23.6	93.0
23.7	87.0
23.8	79.0
23.9	78.0
24.0	78.0
24.1	82.0
24.2	84.0
24.3	83.0
24.4	76.0
24.5	74.0
24.6	72.0
24.7	73.0
24.8	64.0
24.9	66.0
25.0	66.0
